homt-1	Y74C9A.3
nlp-40	Y74C9A.2
rcor-1	Y74C9A.4
sesn-1	Y74C9A.5
txt-7	Y74C9A.1
Y48G1C.12	Y48G1C.12
pgs-1	Y48G1C.4
Y48G1C.5	Y48G1C.5
csk-1	Y48G1C.2
Y48G1C.10	Y48G1C.10
Y48G1C.6	Y48G1C.6
natc-3	Y48G1C.9
pid-2	Y48G1C.1
Y48G1C.13	Y48G1C.13
Y48G1C.8	Y48G1C.8
rab-11.1	F53G12.1
rpl-7	F53G12.10
F53G12.9	F53G12.9
F53G12.8	F53G12.8
col-45	F53G12.7
spe-8	F53G12.6
mex-3	F53G12.5
F53G12.4	F53G12.4
duox-2	F53G12.3
F53G12.18	F53G12.18
bli-3	F56C11.1
ptr-11	F56C11.2
cest-27	F56C11.6
F56C11.5	F56C11.5
F56C11.3	F56C11.3
atm-1	Y48G1BL.2
Y48G1BL.7	Y48G1BL.7
Y48G1BL.8	Y48G1BL.8
Y48G1BM.10	Y48G1BM.10
Y48G1BM.6	Y48G1BM.6
snpc-3.2	Y48G1BM.1
Y48G1BR.1	Y48G1BR.1
marc-4	C53D5.2
ztf-3	C53D5.4
C53D5.1	C53D5.1
C53D5.5	C53D5.5
imb-3	C53D5.6
xpo-2	Y48G1A.5
nol-14	Y48G1A.4
daf-25	Y48G1A.3
mbtr-1	Y48G1A.6
Y48G1A.2	Y48G1A.2
Y48G1A.1	Y48G1A.1
rnp-8	R119.7
R119.2	R119.2
R119.3	R119.3
pqn-59	R119.4
taf-4	R119.6
R119.5	R119.5
otub-2	Y50C1A.1
Y50C1A.2	Y50C1A.2
C07F11.2	C07F11.2
tol-1	C07F11.1
W04C9.4	W04C9.4
W04C9.5	W04C9.5
cutl-13	W04C9.3
W04C9.9	W04C9.9
W04C9.6	W04C9.6
W04C9.2	W04C9.2
haf-4	W04C9.1
Y65B4BL.3	Y65B4BL.3
Y65B4BL.4	Y65B4BL.4
deps-1	Y65B4BL.2
Y65B4BL.7	Y65B4BL.7
acs-13	Y65B4BL.5
Y65B4BL.6	Y65B4BL.6
Y65B4BL.1	Y65B4BL.1
Y65B4BM.3	Y65B4BM.3
psf-3	Y65B4BR.8
icd-2	Y65B4BR.5
wwp-1	Y65B4BR.4
ptr-21	Y65B4BR.3
lpr-1	Y65B4BR.2
Y65B4BR.1	Y65B4BR.1
ceh-9	Y65B4BR.9
grl-16	Y65B4BR.6
F56A6.5	F56A6.5
F56A6.8	F56A6.8
hum-7	F56A6.2
eme-1	F56A6.4
sago-2	F56A6.1
Y65B4A.4	Y65B4A.4
Y65B4A.6	Y65B4A.6
vps-20	Y65B4A.3
Y65B4A.2	Y65B4A.2
Y65B4A.7	Y65B4A.7
cus-2	Y65B4A.1
Y65B4A.8	Y65B4A.8
Y65B4A.9	Y65B4A.9
Y18H1A.14	Y18H1A.14
Y18H1A.11	Y18H1A.11
hasp-2	Y18H1A.10
ptp-5.3	Y18H1A.1
Y18H1A.4	Y18H1A.4
Y18H1A.2	Y18H1A.2
hgap-1	Y18H1A.3
rec-1	Y18H1A.7
pif-1	Y18H1A.6
Y18H1A.15	Y18H1A.15
Y18H1A.18	Y18H1A.18
col-46	Y18H1A.13
col-47	Y18H1A.12
Y18H1A.9	Y18H1A.9
Y18H1A.8	Y18H1A.8
mps-3	T06A4.2
T06A4.3	T06A4.3
T06A4.1	T06A4.1
zfh-2	ZC123.3
ZC123.1	ZC123.1
cdk-14	ZC123.4
zfr-1	Y95B8A.8
pde-6	Y95B8A.10
Y95B8A.6	Y95B8A.6
him-19	Y95B8A.11
gpa-16	Y95B8A.5
Y95B8A.4	Y95B8A.4
prhg-1	Y95B8A.12
nas-30	Y95B8A.1
mig-1	Y34D9B.1
cutl-20	F54A5.2
shc-1	F54A5.3
hmbx-1	F54A5.1
C54G6.3	C54G6.3
C54G6.2	C54G6.2
madf-6	C54G6.1
C54G6.8	C54G6.8
spp-17	C54G6.5
spp-23	Y34D9A.11
mrpl-38	Y34D9A.1
spd-1	Y34D9A.4
Y34D9A.3	Y34D9A.3
Y34D9A.7	Y34D9A.7
glrx-10	Y34D9A.6
Y34D9A.8	Y34D9A.8
vps-4	Y34D9A.10
npr-23	Y34D9A.2
gsa-1	R06A10.2
R06A10.1	R06A10.1
R06A10.5	R06A10.5
R06A10.4	R06A10.4
ZK993.2	ZK993.2
ZK993.5	ZK993.5
ceh-45	ZK993.1
znf-236	Y48G8AL.10
aps-3	Y48G8AL.14
rpl-17	Y48G8AL.8
Y48G8AL.7	Y48G8AL.7
haf-6	Y48G8AL.11
smg-2	Y48G8AL.6
nsun-2	Y48G8AL.5
herc-1	Y48G8AL.1
Y48G8AL.16	Y48G8AL.16
Y48G8AL.12	Y48G8AL.12
Y48G8AL.13	Y48G8AL.13
Y48G8AL.15	Y48G8AL.15
grh-1	Y48G8AR.1
Y48G8AR.8	Y48G8AR.8
Y48G8AR.2	Y48G8AR.2
Y48G8AR.3	Y48G8AR.3
dapk-1	K12C11.4
K12C11.5	K12C11.5
K12C11.3	K12C11.3
K12C11.6	K12C11.6
K12C11.7	K12C11.7
smo-1	K12C11.2
K12C11.1	K12C11.1
Y92H12BL.1	Y92H12BL.1
Y92H12BL.5	Y92H12BL.5
Y92H12BL.6	Y92H12BL.6
Y92H12BL.7	Y92H12BL.7
Y92H12BL.4	Y92H12BL.4
Y92H12BM.1	Y92H12BM.1
Y92H12BR.7	Y92H12BR.7
set-29	Y92H12BR.6
Y92H12BR.2	Y92H12BR.2
Y92H12BR.3	Y92H12BR.3
mrpl-15	Y92H12BR.8
F37F2.2	F37F2.2
spe-15	F47G6.4
gst-25	F37F2.3
F47G6.3	F47G6.3
acs-16	F47G6.2
dyb-1	F47G6.1
Y92H12A.5	Y92H12A.5
ints-3	Y92H12A.4
Y92H12A.2	Y92H12A.2
src-1	Y92H12A.1
Y73E7A.3	Y73E7A.3
cpx-1	Y73E7A.4
aatf-1	Y73E7A.2
Y73E7A.6	Y73E7A.6
adpr-1	Y73E7A.9
bre-4	Y73E7A.7
Y73E7A.1	Y73E7A.1
Y73E7A.8	Y73E7A.8
mab-20	Y71G12B.20
Y71G12B.18	Y71G12B.18
pqn-88	Y71G12B.21
Y71G12B.33	Y71G12B.33
Y71G12B.22	Y71G12B.22
Y71G12B.17	Y71G12B.17
Y71G12B.23	Y71G12B.23
Y71G12B.35	Y71G12B.35
drag-1	Y71G12B.16
Y71G12B.31	Y71G12B.31
ubc-3	Y71G12B.15
lsm-6	Y71G12B.14
Y71G12B.13	Y71G12B.13
atg-5	Y71G12B.12
tln-1	Y71G12B.11
mppa-1	Y71G12B.24
Y71G12B.10	Y71G12B.10
lin-65	Y71G12B.9
ddx-27	Y71G12B.8
Y71G12B.25	Y71G12B.25
Y71G12B.26	Y71G12B.26
rml-5	Y71G12B.6
Y71G12B.27	Y71G12B.27
Y71G12B.5	Y71G12B.5
pghm-1	Y71G12B.4
Y71G12B.3	Y71G12B.3
Y71G12B.32	Y71G12B.32
Y71G12B.2	Y71G12B.2
Y71G12B.30	Y71G12B.30
chaf-2	Y71G12B.1
C53H9.3	C53H9.3
C53H9.2	C53H9.2
rpl-27	C53H9.1
egl-30	M01D7.7
C53H9.4	C53H9.4
emr-1	M01D7.6
nlp-12	M01D7.5
tag-96	M01D7.4
M01D7.9	M01D7.9
scm-1	M01D7.2
tub-2	Y71G12A.3
Y71G12A.5	Y71G12A.5
Y71G12A.4	Y71G12A.4
trpp-10	Y71G12A.2
Y51F10.7	Y51F10.7
hex-4	Y51F10.5
Y51F10.4	Y51F10.4
Y51F10.15	Y51F10.15
spe-48	Y51F10.10
Y51F10.11	Y51F10.11
Y51F10.3	Y51F10.3
Y51F10.2	Y51F10.2
gap-3	Y20F4.3
crtc-1	Y20F4.2
Y20F4.4	Y20F4.4
Y20F4.8	Y20F4.8
Y37E3.1	Y37E3.1
rpb-10	Y37E3.3
moag-4	Y37E3.4
arl-13	Y37E3.5
rla-1	Y37E3.7
Y37E3.8	Y37E3.8
phb-1	Y37E3.9
eif-2alpha	Y37E3.10
pcyt-2.1	Y37E3.11
iglr-3	Y37E3.13
npp-13	Y37E3.15
Y37E3.19	Y37E3.19
fpn-1.1	Y37E3.16
Y37E3.17	Y37E3.17
Y37E3.30	Y37E3.30
afd-1	W03F11.6
W03F11.5	W03F11.5
ule-1	W03F11.1
gcy-17	W03F11.2
dct-9	W03F11.3
W03F11.4	W03F11.4
lgc-51	F12B6.3
slc-17.6	F12B6.2
abt-2	F12B6.1
Y39G10AL.1	Y39G10AL.1
cdk-7	Y39G10AL.3
Y39G10AR.11	Y39G10AR.11
tpxl-1	Y39G10AR.12
epg-2	Y39G10AR.10
icp-1	Y39G10AR.13
Y39G10AR.9	Y39G10AR.9
nsun-4	Y39G10AR.21
tbca-1	Y39G10AR.20
eif-2gamma	Y39G10AR.8
ekl-7	Y39G10AR.7
mcm-4	Y39G10AR.14
Y39G10AR.32	Y39G10AR.32
Y39G10AR.15	Y39G10AR.15
srbc-64	Y39G10AR.22
Y39G10AR.16	Y39G10AR.16
ugt-31	Y39G10AR.6
zeel-1	Y39G10AR.5
peel-1	Y39G10AR.25
nekl-1	Y39G10AR.3
sydn-1	Y39G10AR.17
dot-1.1	Y39G10AR.18
zwl-1	Y39G10AR.2
F23C8.13	F23C8.13
F23C8.5	F23C8.5
did-2	F23C8.6
F23C8.7	F23C8.7
F23C8.8	F23C8.8
tipn-1	F23C8.9
ubxn-1	F23C8.4
F23C8.14	F23C8.14
F23C8.3	F23C8.3
inx-19	T16H5.1
Y74C10AL.2	Y74C10AL.2
abtm-1	Y74C10AR.3
Y74C10AR.2	Y74C10AR.2
eif-3.I	Y74C10AR.1
ddx-10	Y23H5B.6
Y23H5B.5	Y23H5B.5
dmsr-2	Y23H5B.4
Y23H5B.3	Y23H5B.3
Y23H5B.8	Y23H5B.8
nspd-8	Y23H5B.9
Y23H5B.1	Y23H5B.1
Y23H5B.12	Y23H5B.12
C55C2.4	C55C2.4
C55C2.3	C55C2.3
ssp-19	C55C2.2
scrt-1	C55C2.1
aat-5	C55C2.5
fbp-1	K07A3.1
ptr-12	K07A3.2
K07A3.3	K07A3.3
ctn-1	Y23H5A.5
spe-47	Y23H5A.4
pid-3	Y23H5A.3
Y23H5A.2	Y23H5A.2
cars-1	Y23H5A.7
Y23H5A.8	Y23H5A.8
F40E3.3	F40E3.3
mage-1	F40E3.2
F40E3.5	F40E3.5
F40E3.6	F40E3.6
F32B5.6	F32B5.6
F32B5.7	F32B5.7
cpz-1	F32B5.8
msrp-1	F32B5.4
F32B5.3	F32B5.3
F32B5.2	F32B5.2
F32B5.1	F32B5.1
lin-17	Y71F9B.5
dnj-30	Y71F9B.16
Y71F9B.6	Y71F9B.6
snr-7	Y71F9B.4
yop-1	Y71F9B.3
Y71F9B.2	Y71F9B.2
lron-11	Y71F9B.8
plk-2	Y71F9B.7
Y71F9B.9	Y71F9B.9
