"H2","lower","upper","concentration_um","drug"
2.41939022361309e-29,0,0.35690227763826,0,"Albendazole"
0,0,0.570035428302777,0.117,"Albendazole"
0,0,0.39300658534226,0.234,"Albendazole"
0,0,0.364329394302116,0.468,"Albendazole"
0.327726022630033,0.208215829922601,0.806421195627159,0.9375,"Albendazole"
0.324129569666649,0.20589254417534,0.724857924089005,1.875,"Albendazole"
0.833849785670945,0.782144054906319,0.973722398083421,3.75,"Albendazole"
0.850147023510078,0.7981861740733,0.93711333426902,7.5,"Albendazole"
0.88862314798638,0.87008371884992,0.950115871910036,15,"Albendazole"
0.80341443882448,0.761817862511037,0.943988848601984,30,"Albendazole"
0.870832673247457,0.830774282594988,0.96435527726042,60,"Albendazole"
0.884149530531723,0.865480690056232,0.960802983724713,120,"Albendazole"
1.64338204642809e-29,0,0.397165032064162,0,"Fenbendazole"
0,0,0.595182510130262,0.117,"Fenbendazole"
0.11621241581076,0.0645766931279602,0.592577300868447,0.234,"Fenbendazole"
0.1004984577824,0,0.682590321546792,0.468,"Fenbendazole"
0,0,0.67484853909927,0.937,"Fenbendazole"
0.461577259769431,0.341394057769302,0.842790445461386,1.875,"Fenbendazole"
0.538605571933206,0.416175642520744,0.828229161243153,3.75,"Fenbendazole"
0.70601147141423,0.679258858461805,0.877566392695922,7.5,"Fenbendazole"
0.447523654334054,0.369280646870513,0.949028479209364,15,"Fenbendazole"
0.850132062323081,0.823380769548301,0.954639361705419,60,"Fenbendazole"
0.951308948545762,0.936595217272483,0.984948219176641,120,"Fenbendazole"
1.84941765497433e-30,0,0.369515195363046,0,"Ivermectin"
0,0,0.527738557691261,5.8e-05,"Ivermectin"
0,0,0.523448381155259,0.00011,"Ivermectin"
0.0886299368232065,0,0.655964436871102,0.00023,"Ivermectin"
0.871272679520726,0.854550107498923,0.958435260961986,0.00046,"Ivermectin"
0.91145102637416,0.890143716255439,0.98447542306703,0.00093,"Ivermectin"
0.971094935372419,0.966427121630626,0.99292737371021,0.0018,"Ivermectin"
0.986313891940444,0.985782139142997,0.995292991526116,0.0037,"Ivermectin"
0.99005040501679,0.988901194157718,0.9962355113374,0.0075,"Ivermectin"
0.984577824268459,0.98307672247542,0.993516543980711,0.015,"Ivermectin"
0.972481512871682,0.969547618483225,0.991028417355958,0.03,"Ivermectin"
0,0,0.601138910456615,2.9e-05,"Ivermectin"
5.95375220649164e-31,0,0.123954145532318,0,"Moxidectin"
0.0107408031483899,0,0.174268906967718,0.00097,"Moxidectin"
0.0577255078881371,0,0.243762697170904,0.0019,"Moxidectin"
0.14289154415009,0.0413902616783226,0.425009341599983,0.0039,"Moxidectin"
0.0724760404072844,0.0130804858453033,0.350034006843847,0.0078,"Moxidectin"
0.369701886329144,0.264378238046601,0.59697393207101,0.0156,"Moxidectin"
0.853599081729038,0.825959058067718,0.929594674904899,0.03125,"Moxidectin"
0.895584506004295,0.877159700640849,0.956514971498835,0.0625,"Moxidectin"
0.932043977064156,0.913657377646349,0.981706298292267,0.125,"Moxidectin"
0.92328494447389,0.903572418295298,0.971843771627665,0.25,"Moxidectin"
0.910070218100603,0.886573747992993,0.965849895507274,0.5,"Moxidectin"
0.884038522239683,0.862741781054177,0.94048374468016,1,"Moxidectin"
1.48752228382898e-31,0,0.580244662925215,0,"Milbemycin"
0,0,0.4970032786601,0.00097,"Milbemycin"
0,0,0.444175616511843,0.0019,"Milbemycin"
0,0,0.415476113665999,0.0156,"Milbemycin"
0,0,0.550149554899233,0.03125,"Milbemycin"
0.116214449541156,0,0.428154340766674,0.0625,"Milbemycin"
0.629345568190874,0.350799683495152,0.975314375923956,0.25,"Milbemycin"
0.816216161690729,0.674110076049686,0.96096662944613,0.5,"Milbemycin"
0.826982375294358,0.768283231951575,0.911057854135858,1,"Milbemycin"
0.403139785730935,0.337918728823326,0.565547023052562,0.0039,"Milbemycin"
0,0,0.490525852468683,0.0078,"Milbemycin"
0.0282715824321305,0,0.332039060370018,0.125,"Milbemycin"
1.02826613434511e-29,0,0.528714949091402,0,"Levamisole"
0.155343867283873,0,0.689708700777517,0.136,"Levamisole"
0.326721941628952,0.216400470554919,0.758946549887963,0.273,"Levamisole"
0.293525851904834,0.182718112676704,0.686588407534649,0.546,"Levamisole"
0.244815398130591,0.173157008562029,0.730622009450372,1.09,"Levamisole"
0.805741447998354,0.771711906858511,0.918846889671934,2.1875,"Levamisole"
0.850444384049798,0.821686479147648,0.970860675892063,4.375,"Levamisole"
0.968973716589098,0.962182774964441,0.988411941421889,8.75,"Levamisole"
0.916802751845562,0.902291469505442,0.986709913153272,17.5,"Levamisole"
0.923878708830935,0.909127028005825,0.98934758886328,35,"Levamisole"
0.887845067980258,0.862098651993642,0.961904069125438,70,"Levamisole"
0.933589289166836,0.91574424091034,0.978341825388732,140,"Levamisole"
3.18919599508817e-29,0,0.401291799553164,0,"Pyrantel"
0,0,0.621995359947845,0.292,"Pyrantel"
0.107747529795725,0.0218086013039528,0.658484694200839,0.585,"Pyrantel"
0.118053234179617,0.0169854502005507,0.585663331433255,1.17,"Pyrantel"
0,0,0.617926826459346,2.34,"Pyrantel"
0.174101298631212,0.0148658162365838,0.59821789410747,4.68,"Pyrantel"
0.11279515490455,0.0203843307861264,0.710515390593988,9.375,"Pyrantel"
0.784003202095652,0.720307755281915,0.933163362604145,18.75,"Pyrantel"
0.717380597581521,0.653880423764634,0.95844950073238,37.5,"Pyrantel"
0.638598366363162,0.580646660098161,0.901508563068961,75,"Pyrantel"
0.752657799959778,0.716842032196253,0.899650483370412,150,"Pyrantel"
0.92653433239807,0.905981914528319,0.97434575934473,300,"Pyrantel"
0,0,0.651875573497612,0.00097,"Emodepside"
0,0,0.346234560366853,0.00195,"Emodepside"
0,0,0.395949388126259,0.0039,"Emodepside"
0,0,0.52150664701978,0.0078,"Emodepside"
0.259957012954722,0.163242192443342,0.702039494962762,0.0156,"Emodepside"
0.787431736780156,0.769736143235524,0.936514337061799,0.0312,"Emodepside"
0.918023261291955,0.91111853087427,0.960540174986752,0.0625,"Emodepside"
0.989731202035652,0.988597795330336,0.995637486420055,0.125,"Emodepside"
0.995810470118391,0.995404576369472,0.998149325032274,0.25,"Emodepside"
0.998654924276654,0.998394760823793,0.999656952242282,0.5,"Emodepside"
0.993131757457617,0.991052838279549,0.998147772151064,1,"Emodepside"
8.96263958084712e-30,0,0.468086618835886,0,"Emodepside"
2.27284598945739e-29,0,0.645730276117332,0,"Closantel"
0.329359596051871,0.289768086178301,0.814944517599862,0.097,"Closantel"
0.442482023424626,0.382409027911505,0.877805360277776,0.195,"Closantel"
0.330091226451901,0.229222781209522,0.796790848007082,0.39,"Closantel"
0.466968664218584,0.40371374997348,0.7283889518037,0.78,"Closantel"
0.454472870066665,0.305539617623806,0.851674750774789,1.56,"Closantel"
0.967282859841868,0.96624912287846,0.988185286589087,6.25,"Closantel"
0.976579588446074,0.972856205606068,0.991549191584766,12.5,"Closantel"
0.976799202639496,0.970812763647664,0.995488851383062,25,"Closantel"
0.977698018496015,0.969776856465206,0.995098575134692,50,"Closantel"
0.981054501998718,0.977671443349494,0.993166583548876,100,"Closantel"
0.690086362061081,0.63400873352639,0.891582560070429,3.125,"Closantel"
