"drug","concentration_um","type","value","lower","upper"
"Levamisole",0.273,"broad-sense (H2)",0.326721941628952,0.234732111690925,0.688660302848159
"Levamisole",0.273,"narrow-sense (h2)",0.193377613623236,0.0513934205285478,0.335361806717925
"Levamisole",0.546,"broad-sense (H2)",0.293525851904834,0.174095295943866,0.816336149521856
"Levamisole",0.546,"narrow-sense (h2)",0.156854677125895,0.0267700877951584,0.286939266456631
"Levamisole",1.09,"broad-sense (H2)",0.244815398130591,0.123008118638009,0.676909838543776
"Levamisole",1.09,"narrow-sense (h2)",0.146037113494728,0.0216921859387172,0.270382041050738
"Levamisole",2.1875,"broad-sense (H2)",0.805741447998354,0.783489927980282,0.907072544319094
"Levamisole",2.1875,"narrow-sense (h2)",0.735064404126543,0.597611684079435,0.872517124173651
"Levamisole",4.375,"broad-sense (H2)",0.850444384049798,0.834617242003529,0.977096265163552
"Levamisole",4.375,"narrow-sense (h2)",0.755527400801741,0.625103068396271,0.885951733207211
"Levamisole",8.75,"broad-sense (H2)",0.968973716589098,0.96062381087272,0.989974674895705
"Levamisole",8.75,"narrow-sense (h2)",0.935963237674162,0.894440441586514,0.977486033761809
"Levamisole",17.5,"broad-sense (H2)",0.916802751845562,0.906838719118543,0.976654713413725
"Levamisole",17.5,"narrow-sense (h2)",0.850370127483621,0.761640989864146,0.939099265103095
"Levamisole",35,"broad-sense (H2)",0.923878708830935,0.905739529789576,0.981129698339814
"Levamisole",35,"narrow-sense (h2)",0.862850881939486,0.780717352911278,0.944984410967694
"Levamisole",70,"broad-sense (H2)",0.887845067980258,0.863620863053713,0.964740843535487
"Levamisole",70,"narrow-sense (h2)",0.798844930442573,0.686759392242909,0.910930468642237
"Levamisole",140,"broad-sense (H2)",0.933589289166836,0.924425857755537,0.976805578404355
"Levamisole",140,"narrow-sense (h2)",0.87142034849905,0.79263773111923,0.950202965878871
"Pyrantel",0,"broad-sense (H2)",3.18919599508817e-29,0,0.384544353961921
"Pyrantel",0,"narrow-sense (h2)",0,-0.0447085494547624,0.0447085494547624
"Pyrantel",0.292,"broad-sense (H2)",0,0,0.469567913874767
"Pyrantel",0.292,"narrow-sense (h2)",0,-0.0429579332951715,0.0429579332951715
"Pyrantel",0.585,"broad-sense (H2)",0.107747529795725,0,0.639945004525943
"Pyrantel",0.585,"narrow-sense (h2)",0.0296358134554576,-0.0362288649582741,0.0955004918691894
"Pyrantel",1.17,"broad-sense (H2)",0.118053234179617,0,0.61031954922993
"Pyrantel",1.17,"narrow-sense (h2)",0.0520046090687997,-0.0274637361920249,0.131472954329624
"Pyrantel",2.34,"broad-sense (H2)",0,0,0.515326278305644
"Pyrantel",2.34,"narrow-sense (h2)",0.000527056817463545,-0.0436569068710805,0.0447110205060076
"Pyrantel",4.68,"broad-sense (H2)",0.174101298631212,0.0645121465369894,0.630357521329718
"Pyrantel",4.68,"narrow-sense (h2)",0.0849995125420837,-0.0125510463832687,0.182550071467436
"Pyrantel",9.375,"broad-sense (H2)",0.11279515490455,0.0344571807581733,0.65060996019092
"Pyrantel",9.375,"narrow-sense (h2)",0.0495121511230762,-0.0279780368787934,0.127002339124946
"Pyrantel",18.75,"broad-sense (H2)",0.784003202095652,0.714257556820911,0.899532682515663
"Pyrantel",18.75,"narrow-sense (h2)",0.538571555690815,0.355751906093516,0.721391205288114
"Pyrantel",37.5,"broad-sense (H2)",0.717380597581521,0.65503329915532,0.913676012779091
"Pyrantel",37.5,"narrow-sense (h2)",0.453300307743216,0.265955206271539,0.640645409214894
"Pyrantel",75,"broad-sense (H2)",0.638598366363162,0.565491387324974,0.898988926637065
"Pyrantel",75,"narrow-sense (h2)",0.503763194650903,0.318243872845768,0.689282516456039
"Pyrantel",150,"broad-sense (H2)",0.752657799959778,0.703904907846606,0.90310396694933
"Pyrantel",150,"narrow-sense (h2)",0.589243224129122,0.414259229634352,0.764227218623891
"Pyrantel",300,"broad-sense (H2)",0.92653433239807,0.901592899116358,0.971974326752414
"Pyrantel",300,"narrow-sense (h2)",0.87968380506576,0.806359220950019,0.953008389181502
"Emodepside",0,"broad-sense (H2)",8.96263958084712e-30,0,0.438025703303589
"Emodepside",0,"narrow-sense (h2)",0,-0.04635621044792,0.04635621044792
"Emodepside",0.00097,"broad-sense (H2)",0,0,0.595883883060561
"Emodepside",0.00097,"narrow-sense (h2)",0,-0.0450249942701075,0.0450249942701075
"Emodepside",0.00195,"broad-sense (H2)",0,0,0.519187892772305
"Emodepside",0.00195,"narrow-sense (h2)",0,-0.0419123197778661,0.0419123197778661
"Emodepside",0.0039,"broad-sense (H2)",0,0,0.384370069788849
"Emodepside",0.0039,"narrow-sense (h2)",0,-0.0425256559556827,0.0425256559556827
"Emodepside",0.0078,"broad-sense (H2)",0,0,0.584567504881823
