"drug","EC","ECA2666","ED3102","JU3237","NIC1667","PB420","VX34"
"Albendazole","EC10","6.51830964583139 ± 0.651391746333261","3.11061258661912 ± 0.227294018256048","2.97470442962805 ± 0.205756240060623","5.40493662981956 ± 0.49427332268022","2.78190877272446 ± 0.189799986895684","2.4252631896776 ± 0.157083932416421"
"Albendazole","EC50","20907258.4784057 ± 11970937.011202","163940.649829765 ± 55502.2904675467","119499.485466588 ± 38477.4087594447","6040136.67291162 ± 3125900.84058454","77951.2406879384 ± 23171.085286026","31166.5539963465 ± 8157.36523980487"
"Albendazole","EC90","1.35823149401484e+25 ± 2.63846513293227e+25","1374951348486147328 ± 1628834402046024192","480970141197081856 ± 548152433546905664","2.19595278939881e+23 ± 3.88003815534405e+23","116347645807828656 ± 123008046623011312","5535849358692530 ± 5241396489287559"
"Closantel","EC10","3.07714050352149 ± 0.140142476025181","3.26467494336271 ± 0.151472910761697","5.95298786090543 ± 0.248966060480971","7.70314068579046 ± 0.363255348817914","4.63335841220653 ± 0.234507255022493","4.12962121223081 ± 0.162023633788905"
"Closantel","EC50","17.2071744669152 ± 0.312453028362125","19.948233777314 ± 0.365618178899007","23.2983134047848 ± 0.408382015302235","44.0264123774968 ± 1.17964401553313","34.582889706859 ± 0.814682097695266","15.9584382331991 ± 0.266681376038759"
"Closantel","EC90","142.125421122043 ± 8.38583069316908","207.66565510818 ± 12.9253319594597","202.325150921839 ± 13.6658274319011","1388.74949662601 ± 183.087595396022","849.878029900242 ± 82.0148236353813","86.5451420973102 ± 4.47774509775108"
"Emodepside","EC10","0.0615682860356134 ± 0.00268757080291848","0.130583451653626 ± 0.00687422849054547","0.0509205469014433 ± 0.00145879964260613","0.120976783184937 ± 0.00573677517373601","0.231187342818814 ± 0.0100439236629599","0.0471507202557002 ± 0.00201389481592215"
"Emodepside","EC50","0.205750033715236 ± 0.0039703699530426","0.785942036504121 ± 0.035699889977272","0.0927765336142894 ± 0.00112691417935685","0.530022077114792 ± 0.0165017948634453","3.61085040774439 ± 0.521298450247742","0.155627685482766 ± 0.00271252053792625"
"Emodepside","EC90","0.907390166135332 ± 0.0547475211467791","41.8915266205515 ± 9.83724069622989","0.144799218586322 ± 0.00298349363857977","11.5431985259837 ± 1.97179841896389","6438.44764540516 ± 3837.28677163696","0.540567897370757 ± 0.0265767731666945"
"Fenbendazole","EC10","4.1730055590525 ± 0.33079611292216","2.69670924067132 ± 0.16399993285632","2.14585864542354 ± 0.118825460849596","2.8898191036557 ± 0.190943739856181","2.34526556448372 ± 0.136639593251551","2.64184790162951 ± 0.163533083369444"
"Fenbendazole","EC50","207554.976616872 ± 89702.7179677102","11733.2538398612 ± 3241.14487450473","2608.09841946305 ± 556.259921720733","18575.1372965929 ± 6121.89989533781","4685.94721372624 ± 1140.95973477495","10236.3977001278 ± 2961.04387656871"
"Fenbendazole","EC90","1502858942629807616 ± 2202183575167029248","107671249878211 ± 103837918688374","728730284146.967 ± 557413533369.322","495301308172143 ± 563085065865189","5103982873015.15 ± 4382008796966.19","68423408581748 ± 68879823640524.2"
"Ivermectin","EC10","0.000408424178756198 ± 3.56110589519038e-05","0.000239045403788312 ± 1.82645644997151e-05","0.000437809195922594 ± 8.39449416394118e-06","0.000441343711328739 ± 1.50886459385424e-05","0.00042108018312026 ± 1.71138772749845e-05","0.000438179821963816 ± 1.04047129377663e-05"
"Ivermectin","EC50","0.00084577078173656 ± 2.75946971255552e-05","0.000654170005452851 ± 2.20596280204151e-05","0.000660862540897925 ± 1.40416600965732e-05","0.000871539321387069 ± 2.82283753311734e-05","0.000683397975077644 ± 1.94036683263362e-05","0.00070913434912173 ± 1.91012708812267e-05"
"Ivermectin","EC90","0.00445791667592863 ± 0.000487926703031799","0.00267092365773018 ± 0.000297210487741924","0.00194894931135275 ± 0.000148168569181348","0.00488895020727677 ± 0.000539673646286227","0.00218296207961077 ± 0.000207269353772891","0.00246346621219241 ± 0.000229186072750199"
"Levamisole","EC10","2.20485281139654 ± 0.102018370969116","1.33812406804296 ± 0.173755742077198","1.97515423643186 ± 0.0808008292312226","2.32789448423622 ± 0.275804494144914","1.81846247869096 ± 0.212018048317648","2.15962950143595 ± 0.090846874877267"
"Levamisole","EC50","18.3498546292949 ± 1.13736996244954","22.9856632075299 ± 1.66311315963467","8.67199264568303 ± 0.375385064351123","46.3990912549715 ± 4.40757774828338","15.0463500936994 ± 0.851935377271157","16.1119076262639 ± 0.917019398952923"
"Levamisole","EC90","5824.64869894164 ± 1310.94301317472","12878.1556888449 ± 3204.81649940218","482.988221002482 ± 77.8779515390737","126953.769120315 ± 42291.3815083534","3019.38908864123 ± 583.856232406011","3781.18949074385 ± 789.041047837525"
"Milbemycin","EC10","0.127369367776372 ± 0.0121916234961647","0.198104417609597 ± 0.0145744927085259","0.143675789934237 ± 0.0142985258143705","0.420905667465287 ± 0.0498131218866523","0.324734085360828 ± 0.0319489266879685","0.349333455085034 ± 0.0490903374047161"
"Milbemycin","EC50","0.371996175690552 ± 0.015796411377209","0.381421733370633 ± 0.012655130376508","0.429007505871818 ± 0.0191313774703004","0.679703622639744 ± 0.0314120259684038","0.599939262601757 ± 0.0218971151691213","0.57697223650724 ± 0.0190340086336225"
"Milbemycin","EC90","1.0295524976534 ± 0.109247830312534","0.706206160104566 ± 0.048238598502037","1.31949142465061 ± 0.155240266970735","2.21023353163048 ± 0.388271474427861","1.630379566371 ± 0.2164680277321","1.37100676928769 ± 0.181576841060126"
"Moxidectin","EC10","0.00908102030700259 ± 0.000323741725763638","0.00855125303803833 ± 0.000302869452677259","0.00913629627962528 ± 0.000307045212775107","0.00929539131060005 ± 0.000313706669694932","0.00896792191521711 ± 0.00029733578768858","0.00765006675997131 ± 0.000441081479241494"
"Moxidectin","EC50","0.0160232613507423 ± 0.000568135805910893","0.0107682983694847 ± 0.000353901344031459","0.0158673774054624 ± 0.000635722387917874","0.0175888415221021 ± 0.000672968462501601","0.0140061884756085 ± 0.000499779708718123","0.0122055035021708 ± 0.000351991359411903"
"Moxidectin","EC90","0.0734218391257137 ± 0.00851807755338834","0.0196093701944667 ± 0.00139459294125787","0.0710755002051355 ± 0.0101021961646255","0.100072944596304 ± 0.0132454614398965","0.0469591948461672 ± 0.00594208970231398","0.0305444209882137 ± 0.00234994155172778"
"Pyrantel","EC10","53.335550858206 ± 3.44496701346586","132.062847176402 ± 5.47101824270919","75.4467563675092 ± 3.09303319924517","105.516576454857 ± 5.45315054326184","88.5566022434887 ± 3.10531214726368","88.4339408156995 ± 3.32627899520624"
"Pyrantel","EC50","926.781480231764 ± 94.6424895034138","7683.17471989536 ± 2212.53544126676","400.764084416654 ± 21.9167519207957","5030.82175257682 ± 1167.65889352237","718.772536467224 ± 61.5549165386807","635.457244514424 ± 54.4289056842097"
"Pyrantel","EC90","474542.797929229 ± 195690.90415166","504235339.588998 ± 532025960.626552","27686.1106903655 ± 7762.5857401569","123567791.069195 ± 105192105.653028","192551.621028889 ± 74885.1834324065","127879.131116591 ± 51051.7002161362"
