"drug","EC","ECA2666","ED3102","JU3237","NIC1667","AF16","VX34"
"Albendazole","EC10","0.342333455298823 ± 0.0685291822504751","0.552638593911135 ± 0.0811505420193779","0.832421010054163 ± 0.108444563945789","0.589531303292925 ± 0.10499893680895","0.752772824435787 ± 0.0935779929662464","1.10529820079972 ± 0.123202642637601"
"Albendazole","EC50","8.79334882255643 ± 0.899254483774174","2.98831403669106 ± 0.208544025638656","3.75888671754154 ± 0.240351683978512","7.03329903636747 ± 0.635551181395117","3.03947426381547 ± 0.184647953131968","2.81938023033329 ± 0.135594174136826"
"Albendazole","EC90","225.870367965233 ± 56.2374077019292","16.1588801076763 ± 2.95633842568094","16.973657782125 ± 2.58683660598135","83.9095312813074 ± 19.0660175740824","12.272499086721 ± 1.76326282352701","7.19163830850616 ± 0.928039551503181"
"Closantel","EC10","2.87868906937624 ± 0.132000659772076","2.92228358616542 ± 0.135320164974766","4.99846253733961 ± 0.199308947845593","6.18938694344228 ± 0.306984431610876","3.58871042779305 ± 0.180889663812888","4.01373878186762 ± 0.160197264127614"
"Closantel","EC50","14.4213460174759 ± 0.361511818021608","16.6380767670398 ± 0.434198018108781","20.6041920736795 ± 0.476985010403443","37.9726175369954 ± 1.03182590408208","28.7903278001957 ± 0.859626193058616","13.8735966800366 ± 0.301268850471369"
"Closantel","EC90","72.2465038576853 ± 4.26385029678268","94.729204180062 ± 5.75633158224712","84.9326623612212 ± 4.65484421746524","232.966478875369 ± 15.6294299184225","230.969589639602 ± 16.2032746214581","47.9544622360205 ± 2.34552854344446"
"Emodepside","EC10","0.059328927940029 ± 0.00188750433268875","0.116672444848044 ± 0.00539724504770091","0.0533481944908965 ± 0.000922585527979365","0.106473299406586 ± 0.00435609766486386","0.259332240810661 ± 0.0127376386543607","0.0498395497576736 ± 0.00151870749378042"
"Emodepside","EC50","0.18367522474664 ± 0.00314157177234715","0.653868439070218 ± 0.0161319314576397","0.0846766055524461 ± 0.000985062318843494","0.497925952822138 ± 0.0106680055790557","1.2982706355563 ± 0.0490108473463353","0.136155318792158 ± 0.00211049289763512"
"Emodepside","EC90","0.568636403135927 ± 0.0233106234590527","3.66448081351995 ± 0.247035738392342","0.13440244035078 ± 0.00301883536200547","2.32856740493286 ± 0.120930079296039","6.49941032352532 ± 0.662917903755676","0.371959035054082 ± 0.0143975407918454"
"Fenbendazole","EC10","0.30962853932954 ± 0.0793508097602309","0.511161060476152 ± 0.102330244812391","0.832654453414498 ± 0.131776372270987","0.382421522412588 ± 0.0875707239574458","0.576400610209159 ± 0.11305865846396","0.667792180426142 ± 0.126435403437515"
"Fenbendazole","EC50","11.3317221156715 ± 1.86919251295762","5.63758494305467 ± 0.670737458827811","4.23682489081612 ± 0.373863474914289","5.94758171408123 ± 0.793997258125286","4.06012214279781 ± 0.418516444518449","5.36943010944585 ± 0.612665447840117"
"Fenbendazole","EC90","414.716054226942 ± 162.640985471583","62.1768097134612 ± 18.1978065484129","21.558384851997 ± 4.57204837111669","92.4993133820261 ± 31.6016982135551","28.5991921633381 ± 8.05321195689797","43.1732813670051 ± 12.4298191611806"
"Ivermectin","EC10","0.00035194009886907 ± 1.84339763429122e-05","0.000249930544067965 ± 1.07794484986602e-05","0.000477125454134886 ± 1.85258714296296e-05","0.000417598145381496 ± 1.81587455251246e-05","0.000389508958286295 ± 1.26392361723595e-05","0.000431342069248354 ± 1.49194439311509e-05"
"Ivermectin","EC50","0.000748706472466386 ± 1.69307792559794e-05","0.000529827379193249 ± 1.1326267315695e-05","0.000719947241042371 ± 1.41493357095969e-05","0.000746013849303112 ± 1.33512340199032e-05","0.000646919912400924 ± 1.26202360545498e-05","0.000689962937964736 ± 1.3379660687602e-05"
"Ivermectin","EC90","0.00159277497424811 ± 8.22588865101653e-05","0.00112318025309644 ± 6.00845567821601e-05","0.00108634746981658 ± 2.67668960635508e-05","0.00133270865665274 ± 5.7656984477957e-05","0.00107444351190817 ± 3.95212262582359e-05","0.00110364578301968 ± 3.58451189314254e-05"
"Levamisole","EC10","1.05368973075597 ± 0.143483581105343","0.484300736434674 ± 0.0767257258835305","1.43494361588454 ± 0.153175172943434","0.811663196481381 ± 0.145653518675277","0.723759509901557 ± 0.0968471257462238","1.08439430993546 ± 0.137059471044105"
"Levamisole","EC50","9.40479549340781 ± 0.736675340161684","8.97609521781887 ± 0.834831850532112","5.19825493912728 ± 0.312121348862752","17.3400696171689 ± 1.6363551114844","7.19158610083286 ± 0.589134427712866","8.41244327692442 ± 0.642452624245533"
"Levamisole","EC90","83.9432858564213 ± 14.8432520755708","166.36416032008 ± 36.1033293954761","18.8313004866774 ± 2.93549741715834","370.446775992462 ± 83.5288212571597","71.4586957934785 ± 13.3642562009438","65.2615024249648 ± 11.5021473270644"
"Milbemycin","EC10","0.12908922192295 ± 0.0119026366952636","0.19873535796291 ± 0.0136376365236837","0.141378234216137 ± 0.0136595739391606","0.358853210427426 ± 0.0288156430747536","0.291178475894977 ± 0.0228424384470948","0.298465590564643 ± 0.0275403642989275"
"Milbemycin","EC50","0.349643789027219 ± 0.0234535238996846","0.368517719462825 ± 0.0178914946168041","0.406882280364151 ± 0.028428634031454","0.721344721030305 ± 0.0368661571490129","0.608875947891004 ± 0.0323553213937308","0.586326993775424 ± 0.028623169300565"
"Milbemycin","EC90","0.94702545560526 ± 0.142949671456479","0.683347497647735 ± 0.0609434799476536","1.17099489176838 ± 0.17795960429517","1.45000292999614 ± 0.148972375117353","1.27320509794098 ± 0.148006014669344","1.15182236913595 ± 0.147874650153657"
