"drug","concentration_um","type","value","lower","upper"
"Albendazole",0,"broad-sense (H2)",2.41939022361309e-29,0,0.520558933023665
"Albendazole",0,"narrow-sense (h2)",0,-0.0419360856048965,0.0419360856048965
"Albendazole",0.117,"broad-sense (H2)",0,0,0.607352188858257
"Albendazole",0.117,"narrow-sense (h2)",0,-0.0418451585985153,0.0418451585985153
"Albendazole",0.234,"broad-sense (H2)",0,0,0.418372403285954
"Albendazole",0.234,"narrow-sense (h2)",0,-0.0419360856048965,0.0419360856048965
"Albendazole",0.468,"broad-sense (H2)",0,0,0.390300237633953
"Albendazole",0.468,"narrow-sense (h2)",0,-0.0412804327352135,0.0412804327352135
"Albendazole",0.9375,"broad-sense (H2)",0.327726022630033,0.250359915361998,0.748666458532654
"Albendazole",0.9375,"narrow-sense (h2)",0.194286241371118,0.049121269624511,0.339451213117725
"Albendazole",1.875,"broad-sense (H2)",0.324129569666649,0.287090852158372,0.667570315611469
"Albendazole",1.875,"narrow-sense (h2)",0.207118232790911,0.0606951772034246,0.353541288378397
"Albendazole",3.75,"broad-sense (H2)",0.829556871607452,0.760190258644612,0.973590480252035
"Albendazole",3.75,"narrow-sense (h2)",0.664252045177911,0.487393809047479,0.841110281308342
"Albendazole",7.5,"broad-sense (H2)",0.850147023510078,0.810986179031929,0.95838775376761
"Albendazole",7.5,"narrow-sense (h2)",0.764084985970728,0.637326653836721,0.890843318104735
"Albendazole",15,"broad-sense (H2)",0.88862314798638,0.869283302205683,0.959828150089544
"Albendazole",15,"narrow-sense (h2)",0.795432322183716,0.681882257994515,0.908982386372917
"Albendazole",30,"broad-sense (H2)",0.80341443882448,0.758524777604422,0.976733912477092
"Albendazole",30,"narrow-sense (h2)",0.684540801435335,0.530729524865177,0.838352078005494
"Albendazole",60,"broad-sense (H2)",0.870832673247457,0.843799868617541,0.954537791996351
"Albendazole",60,"narrow-sense (h2)",0.776731237624646,0.654144238732318,0.899318236516974
"Albendazole",120,"broad-sense (H2)",0.884149530531723,0.851280762870279,0.954088144655721
"Albendazole",120,"narrow-sense (h2)",0.79855425245618,0.686346476886725,0.910762028025634
