"drug","ECA2666","ED3102","JU3237","NIC1667","PB420","VX34"
"Albendazole","2.09374178125729 ± 0.781897849024352","2.33431686812009 ± 0.716642577717546","2.97719387570109 ± 0.815640408497469","2.83730166702523 ± 0.830964110368015","2.60396735296528 ± 0.646641482238287","3.31533256530836 ± 0.773504981832095"
"Fenbendazole","3.53002675487874 ± 1.49950309667032","4.62985768173057 ± 1.73265443445351","5.74526762076391 ± 1.7674608067654","3.65667763939268 ± 1.53811945324234","4.75679049133422 ± 1.65509928927915","6.25354964597119 ± 1.99881628011332"
"Ivermectin","5.96420416198258 ± 2.25186363470017","2.55857508972481 ± 0.238398001613442","18.588139091277 ± 5.04950696359135","8.9302460410963 ± 2.625417777416","10.1664464601049 ± 3.68542885871156","14.1765465371084 ± 4.82060088919512"
"Moxidectin","17.0040530065287 ± 10.3442846052114","30.670675210954 ± 26.2231919163079","23.6255913802015 ± 16.2533646803532","24.0682066998545 ± 12.3328543364559","28.2020410283765 ± 21.0192232642933","7.28837382222828 ± 1.98630846573172"
"Milbemycin","2.00950170825319 ± 0.1661532527909","3.27514753262889 ± 0.320765193104909","2.03021572020677 ± 0.179321646676613","11.1819564635243 ± 16.1976736344949","4.64491523915024 ± 1.21843269329773","5.95157684974071 ± 2.95633557624322"
"Levamisole","6.32736742947748 ± 3.42276741676946","1.4478158882169 ± 0.195290418623187","8.90413243580928 ± 3.42341208292614","2.73047442761249 ± 1.23875217903137","2.74278971930507 ± 0.882768518902417","6.46060628964624 ± 2.40547608827415"
"Pyrantel","1.39359281201482 ± 0.105352597063697","4.10736616501583 ± 1.58907886524964","3.65188800437518 ± 0.813341124229291","1.91490216003968 ± 0.264906298783428","4.35432135929839 ± 1.52366457632818","5.1852083789031 ± 1.9950829725313"
"Emodepside","1.99429577043605 ± 0.108512701474223","2.27342254616196 ± 0.230262283855307","3.29339825000026 ± 0.129151640473477","2.49743894358092 ± 0.239211215106186","5.31453906008583 ± 1.80343359017701","1.87139493666417 ± 0.0845109714810627"
"Closantel","1.39600276952435 ± 0.0471300725583307","1.36419746124586 ± 0.0471589105224816","2.04705992747699 ± 0.119292632489737","1.97329173847159 ± 0.136536732565122","1.39513370053203 ± 0.0614178056383179","1.79477967771486 ± 0.0705045003935081"
