"drug","comps","Estimate","Std..Error","t.value","p.value","sig_p_val"
"Albendazole","strainAF16/strainECA2666",2.32572947001933,0.223810770710603,5.92343909906621,1.00919193339661e-07,"*"
"Albendazole","strainAF16/strainED3102",1.20927777234345,0.131437032371866,1.59222837405027,1,""
"Albendazole","strainAF16/strainJU3237",1.08014997209954,0.115140194646014,0.696107665493851,1,""
"Albendazole","strainAF16/strainNIC1667",1.77625946845716,0.178376209208591,4.35181054637958,0.000256582422389829,"*"
"Albendazole","strainAF16/strainVX34",0.67093056330799,0.0879030195213652,-3.74355100068011,0.00311431820662026,"*"
"Albendazole","strainECA2666/strainED3102",0.519956335391578,0.0509189324620289,-9.42760661697686,2.44304534427377e-18,"*"
"Albendazole","strainECA2666/strainJU3237",0.4644349164525,0.0439858911026606,-12.1758379817183,2.06215223538384e-28,"*"
"Albendazole","strainECA2666/strainNIC1667",0.763742942313232,0.0664817101381437,-3.55371510744601,0.00636734756619813,"*"
"Albendazole","strainECA2666/strainVX34",0.288481773979677,0.0355359545531947,-20.0224880678309,1.17400720084898e-61,"*"
"Albendazole","strainED3102/strainJU3237",0.893219074064622,0.0959668891088049,-1.11268508260503,1,""
"Albendazole","strainED3102/strainNIC1667",1.46885976826892,0.149109913196687,3.14439032400524,0.0268002408681952,"*"
"Albendazole","strainED3102/strainVX34",0.554819230661785,0.0727723622340722,-6.11744288176727,3.35843428657601e-08,"*"
"Albendazole","strainJU3237/strainNIC1667",1.64445633878465,0.162809377745154,3.95834900734907,0.00133635622170819,"*"
"Albendazole","strainJU3237/strainVX34",0.621145748866583,0.0807649107958333,-4.69082733330974,5.58562157337183e-05,"*"
"Albendazole","strainNIC1667/strainVX34",0.37772103412952,0.047379590044656,-13.1339035496924,3.28131742243602e-32,"*"
"Fenbendazole","strainAF16/strainECA2666",1.84409988741457,0.216222336012,3.90385148446329,0.00169374159411128,"*"
"Fenbendazole","strainAF16/strainED3102",1.22967362645237,0.144432128916267,1.59018376434457,1,""
"Fenbendazole","strainAF16/strainJU3237",0.833408211939525,0.103275604012321,-1.61307977478012,1,""
"Fenbendazole","strainAF16/strainNIC1667",1.40572950420513,0.169550501362372,2.39297142116959,0.258322093747775,""
"Fenbendazole","strainAF16/strainVX34",1.06778863321914,0.131415374784624,0.515834873432722,1,""
"Fenbendazole","strainECA2666/strainED3102",0.666815086777308,0.068796039312493,-4.84308277849052,2.84693125877032e-05,"*"
"Fenbendazole","strainECA2666/strainJU3237",0.451932250322928,0.050144511788271,-10.92976539469,2.39531662288572e-23,"*"
"Fenbendazole","strainECA2666/strainNIC1667",0.762284903219623,0.0808260186882336,-2.94107145988849,0.0522170336068129,""
"Fenbendazole","strainECA2666/strainVX34",0.579029715530313,0.0644144225960588,-6.53534204768986,3.23712971685932e-09,"*"
"Fenbendazole","strainED3102/strainJU3237",0.677747488448559,0.0764947916884106,-4.21273794514123,0.000478269708087537,"*"
"Fenbendazole","strainED3102/strainNIC1667",1.1431728500681,0.12419657864896,1.15279222363102,1,""
"Fenbendazole","strainED3102/strainVX34",0.868351252112098,0.0977230557973776,-1.34716159675632,1,""
"Fenbendazole","strainJU3237/strainNIC1667",1.68672384560945,0.195405363407211,3.51435515195335,0.00745071798396084,"*"
"Fenbendazole","strainJU3237/strainVX34",1.281231235692,0.152981020652249,1.83834069411321,1,""
"Fenbendazole","strainNIC1667/strainVX34",0.75959751148776,0.0878514746034372,-2.73646503484911,0.0977472099061793,""
"Ivermectin","strainAF16/strainECA2666",1.48794204102219,0.122484531446857,3.98370337264915,0.00120975388609674,"*"
"Ivermectin","strainAF16/strainED3102",1.48100811387121,0.11768392827582,4.08728805129491,0.000791833085087476,"*"
"Ivermectin","strainAF16/strainJU3237",0.810900000336114,0.0676990778640782,-2.79324335914218,0.0820437614487557,""
"Ivermectin","strainAF16/strainNIC1667",1.143670036878,0.0992689977035037,1.44728001895529,1,""
"Ivermectin","strainAF16/strainVX34",0.925888912895714,0.0740657979050364,-1.00061147250865,1,""
"Ivermectin","strainECA2666/strainED3102",0.995339921206726,0.0824382534966104,-0.0565281115940384,1,""
"Ivermectin","strainECA2666/strainJU3237",0.544980905156116,0.0473337460235151,-9.61299565468225,6.10408830859363e-19,"*"
"Ivermectin","strainECA2666/strainNIC1667",0.768625393561913,0.0690088368140339,-3.35282577014881,0.0131451451779761,"*"
