"drug","type","value","EC_level","EC_value","upper","lower","concentration_um","diff_from_EC"
"Albendazole","h2",0,"EC10",0.695832564632092,0.0412804327352135,-0.0412804327352135,0.468,0.227832564632092
"Albendazole","h2",0.734857855115882,"EC50",4.73878385121755,0.873025993311465,0.5966897169203,3.75,0.988783851217546
"Albendazole","h2",0.776731237624646,"EC90",60.3960957552614,0.899318236516974,0.654144238732318,60,0.396095755261449
"Albendazole","H2",0,"EC10",0.695832564632092,0.382998468947332,0,0.468,0.227832564632092
"Albendazole","H2",0.833849785670945,"EC50",4.73878385121755,0.959552882045339,0.787786816460803,3.75,0.988783851217546
"Albendazole","H2",0.870832673247457,"EC90",60.3960957552614,0.949484218654817,0.841895523871593,60,0.396095755261449
"Fenbendazole","h2",0.013095756945124,"EC10",0.546676394378013,0.0696427360866018,-0.0434512221963538,0.468,0.0786763943780132
"Fenbendazole","h2",0.396008858796798,"EC50",6.09721098597786,0.58002992494584,0.211987792647757,7.5,1.40278901402214
"Fenbendazole","h2",0.86317583176442,"EC90",110.453839284128,0.945716615484295,0.780635048044546,120,9.54616071587176
"Fenbendazole","H2",0.1004984577824,"EC10",0.546676394378013,0.626654501570765,0,0.468,0.0786763943780132
"Fenbendazole","H2",0.70601147141423,"EC50",6.09721098597786,0.869887489443034,0.650951092398763,7.5,1.40278901402214
"Fenbendazole","H2",0.951308948545762,"EC90",110.453839284128,0.982746933372179,0.939542331476153,120,9.54616071587176
"Ivermectin","h2",0.808335374350554,"EC10",0.000386240878331344,0.916919385745587,0.699751362955521,0.00046,7.37591216686558e-05
"Ivermectin","h2",0.808335374350554,"EC50",0.000680229632061797,0.916919385745587,0.699751362955521,0.00046,0.000220229632061797
"Ivermectin","h2",0.83282754946474,"EC90",0.00121885010812362,0.930799533696368,0.734855565233112,0.00093,0.00028885010812362
"Ivermectin","H2",0.871272679520726,"EC10",0.000386240878331344,0.947982140850414,0.840808471514515,0.00046,7.37591216686558e-05
"Ivermectin","H2",0.871272679520726,"EC50",0.000680229632061797,0.947982140850414,0.840808471514515,0.00046,0.000220229632061797
"Ivermectin","H2",0.91145102637416,"EC90",0.00121885010812362,0.987723003194021,0.898558596265174,0.00093,0.00028885010812362
"Milbemycin","h2",0.437341724472082,"EC10",0.236283348498174,0.602786081009549,0.271897367934615,0.25,0.0137166515018262
"Milbemycin","h2",0.695983629634846,"EC50",0.506931908591821,0.835071308564802,0.556895950704891,0.5,0.00693190859182136
"Milbemycin","h2",0.72083048930515,"EC90",1.11273304034907,0.852969016357156,0.588691962253144,1,0.112733040349074
"Milbemycin","H2",0.629345568190874,"EC10",0.236283348498174,0.978455772055558,0.34373734699807,0.25,0.0137166515018262
"Milbemycin","H2",0.816216161690729,"EC50",0.506931908591821,0.956130315362622,0.655348720683375,0.5,0.00693190859182136
"Milbemycin","H2",0.826982375294358,"EC90",1.11273304034907,0.910155215218931,0.768773840622759,1,0.112733040349074
"Moxidectin","h2",0.0337140677618428,"EC10",0.00914502513668944,0.0716328355695668,-0.00420470004588128,0.0078,0.00134502513668944
"Moxidectin","h2",0.263452304566605,"EC50",0.0149699524746221,0.399994252065086,0.126910357068124,0.0156,0.000630047525377913
"Moxidectin","h2",0.74662526500971,"EC90",0.0250204881291075,0.870763374657789,0.622487155361631,0.03125,0.00622951187089248
"Moxidectin","H2",0.0724760404072844,"EC10",0.00914502513668944,0.275917168925464,0.00819257792521802,0.0078,0.00134502513668944
"Moxidectin","H2",0.369701886329144,"EC50",0.0149699524746221,0.609595850263088,0.287568409989336,0.0156,0.000630047525377913
"Moxidectin","H2",0.853599081729038,"EC90",0.0250204881291075,0.9435226174153,0.811546755175386,0.03125,0.00622951187089248
"Levamisole","h2",0.146037113494728,"EC10",0.932125183232263,0.270382041050738,0.0216921859387172,1.09,0.157874816767737
"Levamisole","h2",0.935963237674162,"EC50",9.42054077421336,0.977486033761809,0.894440441586514,8.75,0.670540774213359
"Levamisole","h2",0.87142034849905,"EC90",129.384286812347,0.950202965878871,0.79263773111923,140,10.6157131876526
"Levamisole","H2",0.244815398130591,"EC10",0.932125183232263,0.69152166674818,0.168701037373719,1.09,0.157874816767737
"Levamisole","H2",0.968973716589098,"EC50",9.42054077421336,0.98881032152191,0.961495782806232,8.75,0.670540774213359
"Levamisole","H2",0.933589289166836,"EC90",129.384286812347,0.976623940424661,0.915048332823334,140,10.6157131876526
"Pyrantel","h2",0.503763194650903,"EC10",57.5344984973524,0.689282516456039,0.318243872845768,75,17.4655015026476
"Pyrantel","h2",0.589243224129122,"EC50",201.284011659464,0.764227218623891,0.414259229634352,150,51.2840116594641
"Pyrantel","h2",0.87968380506576,"EC90",785.879387725712,0.953008389181502,0.806359220950019,300,485.879387725712
"Pyrantel","H2",0.638598366363162,"EC10",57.5344984973524,0.889962883992445,0.582888647444418,75,17.4655015026476
"Pyrantel","H2",0.752657799959778,"EC50",201.284011659464,0.89991081052307,0.71976962288251,150,51.2840116594641
"Pyrantel","H2",0.92653433239807,"EC90",785.879387725712,0.968831260366844,0.905672738433632,300,485.879387725712
"Closantel","h2",0.424070059439803,"EC10",4.0985452243307,0.610677770934537,0.237462347945069,3.125,0.973545224330704
"Closantel","h2",0.953471501574604,"EC50",22.0500261459038,0.984053964597465,0.922889038551743,25,2.94997385409619
"Closantel","h2",0.960047257011304,"EC90",127.299816858327,0.98663224219195,0.933462271830657,100,27.2998168583267
"Closantel","H2",0.690086362061081,"EC10",4.0985452243307,0.883825488482846,0.632058912303261,3.125,0.973545224330704
"Closantel","H2",0.976799202639496,"EC50",22.0500261459038,0.995416599979285,0.97203699336076,25,2.94997385409619
"Closantel","H2",0.981054501998718,"EC90",127.299816858327,0.993419436726086,0.97830189078969,100,27.2998168583267
"Emodepside","h2",0.982925159730712,"EC10",0.107499109542315,0.994428904892997,0.971421414568426,0.125,0.0175008904576849
"Emodepside","h2",0.997682724450515,"EC50",0.475762029423317,0.999296108488714,0.996069340412315,0.5,0.024237970576683
"Emodepside","h2",0.988037144032052,"EC90",2.26124273675315,0.996264246579537,0.979810041484566,1,1.26124273675315
"Emodepside","H2",0.989731202035652,"EC10",0.107499109542315,0.995530178822284,0.988385126778752,0.125,0.0175008904576849
"Emodepside","H2",0.998654924276654,"EC50",0.475762029423317,0.999496111246256,0.998463684462278,0.5,0.024237970576683
"Emodepside","H2",0.993131757457617,"EC90",2.26124273675315,0.997520318736593,0.991942793582126,1,1.26124273675315
