"drug","type","value","EC_level","EC_value","upper","lower","concentration_um","diff_from_EC"
"Milbemycin","H2",0.816216161690729,"EC50",0.506931908591821,0.950143050307247,0.657938515968227,0.5,0.00693190859182136
"Milbemycin","H2",0.826982375294358,"EC90",1.11273304034907,0.91729722580442,0.760223749046789,1,0.112733040349074
"Moxidectin","h2",0.0337140677618428,"EC10",0.00914502513668944,0.0716328355695668,-0.00420470004588128,0.0078,0.00134502513668944
"Moxidectin","h2",0.263452304566605,"EC50",0.0149699524746221,0.399994252065086,0.126910357068124,0.0156,0.000630047525377913
"Moxidectin","h2",0.74662526500971,"EC90",0.0250204881291075,0.870763374657789,0.622487155361631,0.03125,0.00622951187089248
"Moxidectin","H2",0.0724760404072844,"EC10",0.00914502513668944,0.274721971918454,0.00588286162692402,0.0078,0.00134502513668944
"Moxidectin","H2",0.369701886329144,"EC50",0.0149699524746221,0.575636469804693,0.313604882859321,0.0156,0.000630047525377913
"Moxidectin","H2",0.853599081729038,"EC90",0.0250204881291075,0.954866216659856,0.818156215919601,0.03125,0.00622951187089248
"Levamisole","h2",0.146037113494728,"EC10",0.932125183232263,0.270382041050738,0.0216921859387172,1.09,0.157874816767737
"Levamisole","h2",0.889880833237304,"EC50",9.42054077421336,0.965482431195167,0.814279235279442,8.75,0.670540774213359
"Levamisole","h2",0.591448626517994,"EC90",129.384286812347,0.814996785663771,0.367900467372216,140,10.6157131876526
"Levamisole","H2",0.244815398130591,"EC10",0.932125183232263,0.718143866565342,0.184756167978084,1.09,0.157874816767737
"Levamisole","H2",0.936503015298209,"EC50",9.42054077421336,0.97299929240896,0.914806096836651,8.75,0.670540774213359
"Levamisole","H2",0.729500865550742,"EC90",129.384286812347,0.899950427948112,0.667654698330266,140,10.6157131876526
"Pyrantel","h2",0.503763194650903,"EC10",57.5344984973524,0.689282516456039,0.318243872845768,75,17.4655015026476
"Pyrantel","h2",0.589243224129122,"EC50",201.284011659464,0.764227218623891,0.414259229634352,150,51.2840116594641
"Pyrantel","h2",0.87968380506576,"EC90",785.879387725712,0.953008389181502,0.806359220950019,300,485.879387725712
"Pyrantel","H2",0.638598366363162,"EC10",57.5344984973524,0.908696859830647,0.536683044485527,75,17.4655015026476
"Pyrantel","H2",0.752657799959778,"EC50",201.284011659464,0.90380248801103,0.731903945742207,150,51.2840116594641
"Pyrantel","H2",0.92653433239807,"EC90",785.879387725712,0.975634288053781,0.913393587393117,300,485.879387725712
