"drug","AF16","ECA2666","ED3102","JU3237","NIC1667","VX34"
"Albendazole","1.57430809428622 ± 0.135158594581422","0.676909380295695 ± 0.0420059630282624","1.30185812580957 ± 0.116080942604189","1.45749028834038 ± 0.122332399621376","0.886305251143094 ± 0.0654454935909129","2.34645458171434 ± 0.277065902727933"
"Fenbendazole","1.12553196660936 ± 0.12665512263168","0.610342191489071 ± 0.0487055822001875","0.915309511725104 ± 0.0841561158652792","1.3505170101336 ± 0.136965225842882","0.800674641346301 ± 0.0753846357527248","1.05407749398505 ± 0.108865572499933"
"Ivermectin","4.33090917912893 ± 0.244807488219096","2.91067061735392 ± 0.180604067141234","2.92429807680686 ± 0.169823467058363","5.34086715665777 ± 0.336314076776504","3.78685201104986 ± 0.257857277733125","4.67756889493797 ± 0.27262948344915"
"Moxidectin","6.64470837332708 ± 2.37356625844556","3.41022539399496 ± 0.391376153719509","8.58372649715987 ± 3.31318472292876","4.31511281558377 ± 0.870976380058448","3.54642264359296 ± 0.412228626602485","3.75082805472906 ± 0.486461866618832"
"Milbemycin","2.97856805950267 ± 0.338062677300074","2.20513863800258 ± 0.233621041956049","3.55817362989725 ± 0.363252558358758","2.07856925374 ± 0.209333413482348","3.1469677415878 ± 0.34590466393382","3.25407251089788 ± 0.484691606506723"
"Levamisole","0.956892718401024 ± 0.0585353107861074","1.00379314299787 ± 0.0628260118630395","0.752573611653549 ± 0.0427040301469725","1.70698335462816 ± 0.158259919541921","0.717650946172673 ± 0.0423323753579611","1.07250203318705 ± 0.0696219674074881"
"Pyrantel","2.09265011177009 ± 0.162549069827141","1.35800918738739 ± 0.0910963816572555","1.62666590984014 ± 0.148981596001239","2.8680154136928 ± 0.249270299792264","1.29786960799107 ± 0.102792413002079","2.51009039148431 ± 0.219169922833898"
"Emodepside","1.36416098892333 ± 0.0597850006813408","1.94432246286178 ± 0.0558517263805479","1.27483549115031 ± 0.0386723869845442","4.75590532719345 ± 0.168036692363533","1.42440401747156 ± 0.0383677069921788","2.18632042805287 ± 0.0678638190128373"
"Closantel","1.05521825055183 ± 0.0270045361298086","1.36357167439271 ± 0.0393694059160322","1.26326027032131 ± 0.034354194281383","1.55131328969171 ± 0.0459614790880875","1.21123987217166 ± 0.0349644557144321","1.77157763988532 ± 0.0557091420584019"
