"H2","lower","upper","concentration_um","drug"
2.41939022361309e-29,0,0.431942570938277,0,"Albendazole"
0,0,0.573430638215193,0.117,"Albendazole"
0,0,0.438783867830026,0.234,"Albendazole"
0,0,0.448091580024632,0.468,"Albendazole"
0.327726022630033,0.236531698024226,0.719564601206899,0.9375,"Albendazole"
0.324129569666649,0.243754061676856,0.780423552715134,1.875,"Albendazole"
0.829556871607452,0.780058289963267,0.958791910980604,3.75,"Albendazole"
0.850147023510078,0.812623574468367,0.946863610743165,7.5,"Albendazole"
0.88862314798638,0.876247735141697,0.950291760839581,15,"Albendazole"
0.80341443882448,0.757029480650256,0.936872094497759,30,"Albendazole"
0.870832673247457,0.833046976477781,0.957137621677584,60,"Albendazole"
0.884149530531723,0.860606214593939,0.961848899802404,120,"Albendazole"
1.64796130041292e-29,0,0.315927606657568,0,"Fenbendazole"
0,0,0.583964984008303,0.117,"Fenbendazole"
0.11621241581076,0.0743123713534724,0.662244895902088,0.234,"Fenbendazole"
0,0,0.636578209902119,0.937,"Fenbendazole"
0.255596865683065,0.103348315983204,0.770310462297158,1.875,"Fenbendazole"
0.538605571933206,0.427090422039292,0.897786339465191,3.75,"Fenbendazole"
0.70601147141423,0.669653070185428,0.900151457714681,7.5,"Fenbendazole"
0.447523654334054,0.36943411765999,0.95361090515394,15,"Fenbendazole"
0.850132062323081,0.819082343938683,0.942017993503242,60,"Fenbendazole"
0.955737472968138,0.945908049065165,0.98508329876697,120,"Fenbendazole"
0.0831463891140157,0,0.801413530946582,0.468,"Fenbendazole"
1.84941765497433e-30,0,0.526263292575989,0,"Ivermectin"
0,0,0.418440469732492,0.00011,"Ivermectin"
0.0886299368232065,0,0.581700462110013,0.00023,"Ivermectin"
0.884243709149256,0.851156359881384,0.965830460147613,0.00046,"Ivermectin"
0.91145102637416,0.892552329771726,0.975623916228756,0.00093,"Ivermectin"
0.971094935372419,0.965411060141537,0.991515959556291,0.0018,"Ivermectin"
0.986455807162041,0.98493547722692,0.994609373629101,0.0037,"Ivermectin"
0.99005040501679,0.988554364005575,0.996569171894944,0.0075,"Ivermectin"
0.984577824268459,0.983224141586725,0.992857306624095,0.015,"Ivermectin"
0.950145435023028,0.940272747764476,0.987113995751643,0.03,"Ivermectin"
0,0,0.4618779821401,2.9e-05,"Ivermectin"
0,0,0.560601344442018,5.8e-05,"Ivermectin"
5.95375220649164e-31,0,0.12181849670429,0,"Moxidectin"
0.0107408031483899,0,0.154931705636051,0.00097,"Moxidectin"
0.0577255078881371,0,0.256725257612203,0.0019,"Moxidectin"
0.14289154415009,0.0371067257455496,0.467487496175788,0.0039,"Moxidectin"
0.0724760404072844,0.000972884269926465,0.286539934300239,0.0078,"Moxidectin"
0.369701886329144,0.310310417238919,0.648395230749598,0.0156,"Moxidectin"
0.853599081729038,0.817994409043456,0.947258393229239,0.03125,"Moxidectin"
0.895584506004295,0.875565804439556,0.928834869171275,0.0625,"Moxidectin"
0.932043977064156,0.912285741655672,0.982744568626825,0.125,"Moxidectin"
0.92328494447389,0.904781156503098,0.969993758014834,0.25,"Moxidectin"
0.910070218100603,0.892999470019151,0.961637730317748,0.5,"Moxidectin"
0.884038522239683,0.870066743851253,0.961747953737606,1,"Moxidectin"
1.48752228382898e-31,0,0.516651570135095,0,"Milbemycin"
