drug,drug short name,PubChem CID,Source,CAS,Catalog #,concentration_range_used_in_which_DRCs,stock concentration (mM),Highest dose in C elegans DRC (µM),Dose 12 [Highest dose] (µM),Dose 11 (µM),Dose 10 (µM),Dose 9 (µM),Dose 8 (µM),Dose 7 (µM),Dose 6 (µM),Dose 5 (µM),Dose 4 (µM),Dose 3 (µM),Dose 2 (µM),Dose 1 [No Dose] (µM)
albendazole,ABZ,2082,Fluka,54965-21-8,A4673-10G,"1,2,3",100,120,120,60,30,15,7.5,3.75,1.875,0.9375,0.46875,0.234375,0.1171875,0
closantel,CLO,42574,Sigma-Aldrich,57808-65-8,34093-100MG,"1,2,3",30,100,100,50,25,12.5,6.25,3.125,1.5625,0.78125,0.390625,0.1953125,0.09765625,0
diethylcarbamazine citrate,DEC,3052,Sigma-Aldrich,1642-54-2,1193006,"1,2,3",100,660,660,330,165,82.5,41.25,20.625,10.3,5.16,2.58,1.29,0.645,0
DMSO,DMSO,,,,,"1,2,3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
emodepside,EMO,6918632,Bayer,155030-63-0,,"1,2,3",10,0.9,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,0.000976563,0
fenbendazole,FEN,3334,Sigma-Aldrich,43210-67-9,F5396-5G,"1,2,3",100,113.38,120,60,30,15,7.5,3.75,1.875,0.9375,0.46875,0.234375,0.1171875,0
ivermectin,IVM,6321424,Sigma-Aldrich,70288-86-7,I8898-1G,"1,2,3",0.1,0.027,0.03,0.015,0.0075,0.00375,0.001875,0.0009375,0.00046875,0.000234375,0.000117188,5.85938E-05,2.92969E-05,0
levamisole,LEV,26879,Sigma-Aldrich,16595-80-5,31742,"1,2,3",100,132,140,70,35,17.5,8.75,4.375,2.1875,1.09375,0.546875,0.2734375,0.13671875,0
milbemycin,MILB,145712259,Millipore Sigma,129496-10-2,1443806,4,0.1,1,1,0.5,0.25,0.125,0.0625,0.03125,0.0156,0.0078,0.0039,0.0019,0.00097,0
moxidectin ,MOX,9832912,Millipore Sigma,113507-06-5,113507-06-5,"1,2,3",100,0.004,0.004,0.003333333,0.002777778,0.002314815,0.001929012,0.00160751,0.001339592,0.001116327,0.000930272,0.000775227,0.000646022,0
moxidectin ,MOX,9832912,Millipore Sigma,113507-06-5,113507-06-5,4,100,1,1,0.5,0.25,0.125,0.0625,0.03125,0.0156,0.0078,0.0039,0.0019,0.00097,0
pyrantel citrate,PYR,6436405,Sigma-Aldrich,5685-86-9,P7549-10G,"1,2,3",100,300,300,150,75,37.5,18.75,9.375,4.6875,2.34375,1.171875,0.5859375,0.29296875,0
