Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p019,A01,48h,10,15hHB101,DMSO,1,Fenbendazole,0,,,ECA2666,1,,,
p019,B01,48h,10,15hHB101,DMSO,1,Fenbendazole,0,,,JU3237,1,,,
p019,C01,48h,10,15hHB101,DMSO,1,Fenbendazole,0,,,VX34,1,,,
p019,D01,48h,10,15hHB101,DMSO,1,Fenbendazole,0,,,NIC1667,1,,,
p019,E01,48h,10,15hHB101,DMSO,1,Fenbendazole,0,,,PB420,1,,,
p019,F01,48h,10,15hHB101,DMSO,1,Fenbendazole,0,,,ED3102,1,,,
p019,A02,48h,10,15hHB101,DMSO,1,Fenbendazole,0.117,,,ECA2666,1,,,
p019,B02,48h,10,15hHB101,DMSO,1,Fenbendazole,0.117,,,JU3237,1,,,
p019,C02,48h,10,15hHB101,DMSO,1,Fenbendazole,0.117,,,VX34,1,,,
p019,D02,48h,10,15hHB101,DMSO,1,Fenbendazole,0.117,,,NIC1667,1,,,
p019,E02,48h,10,15hHB101,DMSO,1,Fenbendazole,0.117,,,PB420,1,,,
p019,F02,48h,10,15hHB101,DMSO,1,Fenbendazole,0.117,,,ED3102,1,,,
p019,A03,48h,10,15hHB101,DMSO,1,Fenbendazole,0.234,,,ECA2666,1,,,
p019,B03,48h,10,15hHB101,DMSO,1,Fenbendazole,0.234,,,JU3237,1,,,
p019,C03,48h,10,15hHB101,DMSO,1,Fenbendazole,0.234,,,VX34,1,,,
p019,D03,48h,10,15hHB101,DMSO,1,Fenbendazole,0.234,,,NIC1667,1,,,
p019,E03,48h,10,15hHB101,DMSO,1,Fenbendazole,0.234,,,PB420,1,,,
p019,F03,48h,10,15hHB101,DMSO,1,Fenbendazole,0.234,,,ED3102,1,,,
p019,A04,48h,10,15hHB101,DMSO,1,Fenbendazole,0.468,,,ECA2666,1,,,
p019,B04,48h,10,15hHB101,DMSO,1,Fenbendazole,0.468,,,JU3237,1,,,
p019,C04,48h,10,15hHB101,DMSO,1,Fenbendazole,0.468,,,VX34,1,,,
p019,D04,48h,10,15hHB101,DMSO,1,Fenbendazole,0.468,,,NIC1667,1,,,
p019,E04,48h,10,15hHB101,DMSO,1,Fenbendazole,0.468,,,PB420,1,,,
p019,F04,48h,10,15hHB101,DMSO,1,Fenbendazole,0.468,,,ED3102,1,,,
p019,A05,48h,10,15hHB101,DMSO,1,Fenbendazole,0.937,,,ECA2666,1,,,
p019,B05,48h,10,15hHB101,DMSO,1,Fenbendazole,0.937,,,JU3237,1,,,
p019,C05,48h,10,15hHB101,DMSO,1,Fenbendazole,0.937,,,VX34,1,,,
p019,D05,48h,10,15hHB101,DMSO,1,Fenbendazole,0.937,,,NIC1667,1,,,
p019,E05,48h,10,15hHB101,DMSO,1,Fenbendazole,0.937,,,PB420,1,,,
p019,F05,48h,10,15hHB101,DMSO,1,Fenbendazole,0.937,,,ED3102,1,,,
p019,A06,48h,10,15hHB101,DMSO,1,Fenbendazole,1.875,,,ECA2666,1,,,
p019,B06,48h,10,15hHB101,DMSO,1,Fenbendazole,1.875,,,JU3237,1,,,
p019,C06,48h,10,15hHB101,DMSO,1,Fenbendazole,1.875,,,VX34,1,,,
p019,D06,48h,10,15hHB101,DMSO,1,Fenbendazole,1.875,,,NIC1667,1,,,
p019,E06,48h,10,15hHB101,DMSO,1,Fenbendazole,1.875,,,PB420,1,,,
p019,F06,48h,10,15hHB101,DMSO,1,Fenbendazole,1.875,,,ED3102,1,,,
p019,A07,48h,10,15hHB101,DMSO,1,Fenbendazole,3.75,,,ECA2666,1,,,
p019,B07,48h,10,15hHB101,DMSO,1,Fenbendazole,3.75,,,JU3237,1,,,
p019,C07,48h,10,15hHB101,DMSO,1,Fenbendazole,3.75,,,VX34,1,,,
p019,D07,48h,10,15hHB101,DMSO,1,Fenbendazole,3.75,,,NIC1667,1,,,
p019,E07,48h,10,15hHB101,DMSO,1,Fenbendazole,3.75,,,PB420,1,,,
p019,F07,48h,10,15hHB101,DMSO,1,Fenbendazole,3.75,,,ED3102,1,,,
p019,A08,48h,10,15hHB101,DMSO,1,Fenbendazole,7.5,,,ECA2666,1,,,
p019,B08,48h,10,15hHB101,DMSO,1,Fenbendazole,7.5,,,JU3237,1,,,
p019,C08,48h,10,15hHB101,DMSO,1,Fenbendazole,7.5,,,VX34,1,,,
p019,D08,48h,10,15hHB101,DMSO,1,Fenbendazole,7.5,,,NIC1667,1,,,
p019,E08,48h,10,15hHB101,DMSO,1,Fenbendazole,7.5,,,PB420,1,,,
p019,F08,48h,10,15hHB101,DMSO,1,Fenbendazole,7.5,,,ED3102,1,,,
p019,A09,48h,10,15hHB101,DMSO,1,Fenbendazole,15,,,ECA2666,1,,,
p019,B09,48h,10,15hHB101,DMSO,1,Fenbendazole,15,,,JU3237,1,,,
p019,C09,48h,10,15hHB101,DMSO,1,Fenbendazole,15,,,VX34,1,,,
p019,D09,48h,10,15hHB101,DMSO,1,Fenbendazole,15,,,NIC1667,1,,,
p019,E09,48h,10,15hHB101,DMSO,1,Fenbendazole,15,,,PB420,1,,,
p019,F09,48h,10,15hHB101,DMSO,1,Fenbendazole,15,,,ED3102,1,,,
p019,A10,48h,10,15hHB101,DMSO,1,Fenbendazole,30,,,ECA2666,1,,,
p019,B10,48h,10,15hHB101,DMSO,1,Fenbendazole,30,,,JU3237,1,,,
p019,C10,48h,10,15hHB101,DMSO,1,Fenbendazole,30,,,VX34,1,,,
p019,D10,48h,10,15hHB101,DMSO,1,Fenbendazole,30,,,NIC1667,1,,,
p019,E10,48h,10,15hHB101,DMSO,1,Fenbendazole,30,,,PB420,1,,,
p019,F10,48h,10,15hHB101,DMSO,1,Fenbendazole,30,,,ED3102,1,,,
p019,A11,48h,10,15hHB101,DMSO,1,Fenbendazole,60,,,ECA2666,1,,,
p019,B11,48h,10,15hHB101,DMSO,1,Fenbendazole,60,,,JU3237,1,,,
p019,C11,48h,10,15hHB101,DMSO,1,Fenbendazole,60,,,VX34,1,,,
p019,D11,48h,10,15hHB101,DMSO,1,Fenbendazole,60,,,NIC1667,1,,,
p019,E11,48h,10,15hHB101,DMSO,1,Fenbendazole,60,,,PB420,1,,,
p019,F11,48h,10,15hHB101,DMSO,1,Fenbendazole,60,,,ED3102,1,,,
p019,A12,48h,10,15hHB101,DMSO,1,Fenbendazole,120,,,ECA2666,1,,,
p019,B12,48h,10,15hHB101,DMSO,1,Fenbendazole,120,,,JU3237,1,,,
