Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p037,A01,48h,10,15hHB101,DMSO,1,Albendazole,0,,,ECA2666,2,,,
p037,B01,48h,10,15hHB101,DMSO,1,Albendazole,0,,,JU3237,2,,,
p037,C01,48h,10,15hHB101,DMSO,1,Albendazole,0,,,VX34,2,,,
p037,D01,48h,10,15hHB101,DMSO,1,Albendazole,0,,,NIC1667,2,,,
p037,E01,48h,10,15hHB101,DMSO,1,Albendazole,0,,,PB420,2,,,
p037,F01,48h,10,15hHB101,DMSO,1,Albendazole,0,,,ED3102,2,,,
p037,A02,48h,10,15hHB101,DMSO,1,Albendazole,0.117,,,ECA2666,2,,,
p037,B02,48h,10,15hHB101,DMSO,1,Albendazole,0.117,,,JU3237,2,,,
p037,C02,48h,10,15hHB101,DMSO,1,Albendazole,0.117,,,VX34,2,,,
p037,D02,48h,10,15hHB101,DMSO,1,Albendazole,0.117,,,NIC1667,2,,,
p037,E02,48h,10,15hHB101,DMSO,1,Albendazole,0.117,,,PB420,2,,,
p037,F02,48h,10,15hHB101,DMSO,1,Albendazole,0.117,,,ED3102,2,,,
p037,A03,48h,10,15hHB101,DMSO,1,Albendazole,0.234,,,ECA2666,2,,,
p037,B03,48h,10,15hHB101,DMSO,1,Albendazole,0.234,,,JU3237,2,,,
p037,C03,48h,10,15hHB101,DMSO,1,Albendazole,0.234,,,VX34,2,,,
p037,D03,48h,10,15hHB101,DMSO,1,Albendazole,0.234,,,NIC1667,2,,,
p037,E03,48h,10,15hHB101,DMSO,1,Albendazole,0.234,,,PB420,2,,,
p037,F03,48h,10,15hHB101,DMSO,1,Albendazole,0.234,,,ED3102,2,,,
p037,A04,48h,10,15hHB101,DMSO,1,Albendazole,0.468,,,ECA2666,2,,,
p037,B04,48h,10,15hHB101,DMSO,1,Albendazole,0.468,,,JU3237,2,,,
p037,C04,48h,10,15hHB101,DMSO,1,Albendazole,0.468,,,VX34,2,,,
p037,D04,48h,10,15hHB101,DMSO,1,Albendazole,0.468,,,NIC1667,2,,,
p037,E04,48h,10,15hHB101,DMSO,1,Albendazole,0.468,,,PB420,2,,,
p037,F04,48h,10,15hHB101,DMSO,1,Albendazole,0.468,,,ED3102,2,,,
p037,A05,48h,10,15hHB101,DMSO,1,Albendazole,0.9375,,,ECA2666,2,,,
p037,B05,48h,10,15hHB101,DMSO,1,Albendazole,0.9375,,,JU3237,2,,,
p037,C05,48h,10,15hHB101,DMSO,1,Albendazole,0.9375,,,VX34,2,,,
