Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p001,A01,48h,10,15hHB101,DMSO,1,moxidectin,0,,,PB420,1,,,
p001,B01,48h,10,15hHB101,DMSO,1,moxidectin,0,,,ED3102,1,,,
p001,C01,48h,10,15hHB101,DMSO,1,moxidectin,0,,,JU3237,1,,,
p001,D01,48h,10,15hHB101,DMSO,1,moxidectin,0,,,NIC1667,1,,,
p001,E01,48h,10,15hHB101,DMSO,1,moxidectin,0,,,VX34,1,,,
p001,F01,48h,10,15hHB101,DMSO,1,moxidectin,0,,,ECA2666,1,,,
p001,A02,48h,10,15hHB101,DMSO,1,moxidectin,0.00097,,,PB420,1,,,
p001,B02,48h,10,15hHB101,DMSO,1,moxidectin,0.00097,,,ED3102,1,,,
p001,C02,48h,10,15hHB101,DMSO,1,moxidectin,0.00097,,,JU3237,1,,,
p001,D02,48h,10,15hHB101,DMSO,1,moxidectin,0.00097,,,NIC1667,1,,,
p001,E02,48h,10,15hHB101,DMSO,1,moxidectin,0.00097,,,VX34,1,,,
p001,F02,48h,10,15hHB101,DMSO,1,moxidectin,0.00097,,,ECA2666,1,,,
p001,A03,48h,10,15hHB101,DMSO,1,moxidectin,0.0019,,,PB420,1,,,
p001,B03,48h,10,15hHB101,DMSO,1,moxidectin,0.0019,,,ED3102,1,,,
p001,C03,48h,10,15hHB101,DMSO,1,moxidectin,0.0019,,,JU3237,1,,,
p001,D03,48h,10,15hHB101,DMSO,1,moxidectin,0.0019,,,NIC1667,1,,,
p001,E03,48h,10,15hHB101,DMSO,1,moxidectin,0.0019,,,VX34,1,,,
p001,F03,48h,10,15hHB101,DMSO,1,moxidectin,0.0019,,,ECA2666,1,,,
p001,A04,48h,10,15hHB101,DMSO,1,moxidectin,0.0039,,,PB420,1,,,
p001,B04,48h,10,15hHB101,DMSO,1,moxidectin,0.0039,,,ED3102,1,,,
p001,C04,48h,10,15hHB101,DMSO,1,moxidectin,0.0039,,,JU3237,1,,,
p001,D04,48h,10,15hHB101,DMSO,1,moxidectin,0.0039,,,NIC1667,1,,,
p001,E04,48h,10,15hHB101,DMSO,1,moxidectin,0.0039,,,VX34,1,,,
