Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason
p025,A11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,ECA2666,1,,
p025,B11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,JU3237,1,,
p025,C11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,VX34,1,,
p025,D11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,NIC1667,1,,
p025,E11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,PB420,1,,
p025,F11,48h,10,15hHB101,DMSO,1,Levamisole,70,,,ED3102,1,,
p025,A12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,ECA2666,1,,
p025,B12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,JU3237,1,,
p025,C12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,VX34,1,,
p025,D12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,NIC1667,1,,
p025,E12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,PB420,1,,
p025,F12,48h,10,15hHB101,DMSO,1,Levamisole,140,,,ED3102,1,,
p026,A01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ECA2666,1,,
p026,B01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,JU3237,1,,
p026,C01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,VX34,1,,
p026,D01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,NIC1667,1,,
p026,E01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,PB420,1,,
p026,F01,48h,10,15hHB101,DMSO,1,Levamisole,0,,,ED3102,1,,
p026,A02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ECA2666,1,,
p026,B02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,JU3237,1,,
p026,C02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,VX34,1,,
p026,D02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,NIC1667,1,,
p026,E02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,PB420,1,,
p026,F02,48h,10,15hHB101,DMSO,1,Levamisole,0.136,,,ED3102,1,,
p026,A03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,ECA2666,1,,
p026,B03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,JU3237,1,,
p026,C03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,VX34,1,,
p026,D03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,NIC1667,1,,
p026,E03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,PB420,1,,
p026,F03,48h,10,15hHB101,DMSO,1,Levamisole,0.273,,,ED3102,1,,
p026,A04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,ECA2666,1,,
p026,B04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,JU3237,1,,
p026,C04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,VX34,1,,
p026,D04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,NIC1667,1,,
p026,E04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,PB420,1,,
p026,F04,48h,10,15hHB101,DMSO,1,Levamisole,0.546,,,ED3102,1,,
p026,A05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,ECA2666,1,,
p026,B05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,JU3237,1,,
p026,C05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,VX34,1,,
p026,D05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,NIC1667,1,,
p026,E05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,PB420,1,,
p026,F05,48h,10,15hHB101,DMSO,1,Levamisole,1.09,,,ED3102,1,,
p026,A06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,ECA2666,1,,
p026,B06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,JU3237,1,,
p026,C06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,VX34,1,,
p026,D06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,NIC1667,1,,
p026,E06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,PB420,1,,
p026,F06,48h,10,15hHB101,DMSO,1,Levamisole,2.1875,,,ED3102,1,,
p026,A07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,ECA2666,1,,
p026,B07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,JU3237,1,,
p026,C07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,VX34,1,,
p026,D07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,NIC1667,1,,
p026,E07,48h,10,15hHB101,DMSO,1,Levamisole,4.375,,,PB420,1,,
