Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p013,A01,48h,10,15hHB101,DMSO,1,Pyrantel,0,,,ECA2666,1,,,
p013,B01,48h,10,15hHB101,DMSO,1,Pyrantel,0,,,JU3237,1,,,
p013,C01,48h,10,15hHB101,DMSO,1,Pyrantel,0,,,VX34,1,,,
p013,D01,48h,10,15hHB101,DMSO,1,Pyrantel,0,,,NIC1667,1,,,
p013,E01,48h,10,15hHB101,DMSO,1,Pyrantel,0,,,PB420,1,,,
p013,F01,48h,10,15hHB101,DMSO,1,Pyrantel,0,,,ED3102,1,,,
p013,A02,48h,10,15hHB101,DMSO,1,Pyrantel,0.292,,,ECA2666,1,,,
p013,B02,48h,10,15hHB101,DMSO,1,Pyrantel,0.292,,,JU3237,1,,,
p013,C02,48h,10,15hHB101,DMSO,1,Pyrantel,0.292,,,VX34,1,,,
p013,D02,48h,10,15hHB101,DMSO,1,Pyrantel,0.292,,,NIC1667,1,,,
p013,E02,48h,10,15hHB101,DMSO,1,Pyrantel,0.292,,,PB420,1,,,
p013,F02,48h,10,15hHB101,DMSO,1,Pyrantel,0.292,,,ED3102,1,,,
p013,A03,48h,10,15hHB101,DMSO,1,Pyrantel,0.585,,,ECA2666,1,,,
p013,B03,48h,10,15hHB101,DMSO,1,Pyrantel,0.585,,,JU3237,1,,,
p013,C03,48h,10,15hHB101,DMSO,1,Pyrantel,0.585,,,VX34,1,,,
p013,D03,48h,10,15hHB101,DMSO,1,Pyrantel,0.585,,,NIC1667,1,,,
p013,E03,48h,10,15hHB101,DMSO,1,Pyrantel,0.585,,,PB420,1,,,
p013,F03,48h,10,15hHB101,DMSO,1,Pyrantel,0.585,,,ED3102,1,,,
p013,A04,48h,10,15hHB101,DMSO,1,Pyrantel,1.17,,,ECA2666,1,,,
p013,B04,48h,10,15hHB101,DMSO,1,Pyrantel,1.17,,,JU3237,1,,,
p013,C04,48h,10,15hHB101,DMSO,1,Pyrantel,1.17,,,VX34,1,,,
p013,D04,48h,10,15hHB101,DMSO,1,Pyrantel,1.17,,,NIC1667,1,,,
p013,E04,48h,10,15hHB101,DMSO,1,Pyrantel,1.17,,,PB420,1,,,
p013,F04,48h,10,15hHB101,DMSO,1,Pyrantel,1.17,,,ED3102,1,,,
p013,A05,48h,10,15hHB101,DMSO,1,Pyrantel,2.34,,,ECA2666,1,,,
p013,B05,48h,10,15hHB101,DMSO,1,Pyrantel,2.34,,,JU3237,1,,,
p013,C05,48h,10,15hHB101,DMSO,1,Pyrantel,2.34,,,VX34,1,,,
p013,D05,48h,10,15hHB101,DMSO,1,Pyrantel,2.34,,,NIC1667,1,,,
p013,E05,48h,10,15hHB101,DMSO,1,Pyrantel,2.34,,,PB420,1,,,
p013,F05,48h,10,15hHB101,DMSO,1,Pyrantel,2.34,,,ED3102,1,,,
