Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p031,A11,48h,10,15hHB101,DMSO,1,Closantel,50,,,ECA2666,1,,,
p031,B11,48h,10,15hHB101,DMSO,1,Closantel,50,,,JU3237,1,,,
p031,C11,48h,10,15hHB101,DMSO,1,Closantel,50,,,VX34,1,,,
p031,D11,48h,10,15hHB101,DMSO,1,Closantel,50,,,NIC1667,1,,,
p031,E11,48h,10,15hHB101,DMSO,1,Closantel,50,,,PB420,1,,,
p031,F11,48h,10,15hHB101,DMSO,1,Closantel,50,,,ED3102,1,,,
p031,A12,48h,10,15hHB101,DMSO,1,Closantel,100,,,ECA2666,1,,,
p031,B12,48h,10,15hHB101,DMSO,1,Closantel,100,,,JU3237,1,,,
p031,C12,48h,10,15hHB101,DMSO,1,Closantel,100,,,VX34,1,,,
p031,D12,48h,10,15hHB101,DMSO,1,Closantel,100,,,NIC1667,1,,,
p031,E12,48h,10,15hHB101,DMSO,1,Closantel,100,,,PB420,1,,,
p031,F12,48h,10,15hHB101,DMSO,1,Closantel,100,,,ED3102,1,,,
p032,A01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ECA2666,1,,,
p032,B01,48h,10,15hHB101,DMSO,1,Closantel,0,,,JU3237,1,,,
p032,C01,48h,10,15hHB101,DMSO,1,Closantel,0,,,VX34,1,,,
p032,D01,48h,10,15hHB101,DMSO,1,Closantel,0,,,NIC1667,1,,,
p032,E01,48h,10,15hHB101,DMSO,1,Closantel,0,,,PB420,1,,,
p032,F01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ED3102,1,,,
p032,A02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ECA2666,1,,,
p032,B02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,JU3237,1,,,
p032,C02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,VX34,1,,,
p032,D02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,NIC1667,1,,,
p032,E02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,PB420,1,,,
p032,F02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ED3102,1,,,
p032,A03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,ECA2666,1,,,
p032,B03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,JU3237,1,,,
p032,C03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,VX34,1,,,
p032,D03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,NIC1667,1,,,
p032,E03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,PB420,1,,,
p032,F03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,ED3102,1,,,
p032,A04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,ECA2666,1,,,
p032,B04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,JU3237,1,,,
p032,C04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,VX34,1,,,
p032,D04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,NIC1667,1,,,
p032,E04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,PB420,1,,,
p032,F04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,ED3102,1,,,
p032,A05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,ECA2666,1,,,
p032,B05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,JU3237,1,,,
p032,C05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,VX34,1,,,
p032,D05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,NIC1667,1,,,
p032,E05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,PB420,1,,,
p032,F05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,ED3102,1,,,
p032,A06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,ECA2666,1,,,
p032,B06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,JU3237,1,,,
p032,C06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,VX34,1,,,
p032,D06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,NIC1667,1,,,
p032,E06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,PB420,1,,,
p032,F06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,ED3102,1,,,
p032,A07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,ECA2666,1,,,
p032,B07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,JU3237,1,,,
p032,C07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,VX34,1,,,
p032,D07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,NIC1667,1,,,
p032,E07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,PB420,1,,,
p032,F07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,ED3102,1,,,
p032,A08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,ECA2666,1,,,
p032,B08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,JU3237,1,,,
p032,C08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,VX34,1,,,
p032,D08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,NIC1667,1,,,
p032,E08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,PB420,1,,,
p032,F08,48h,10,15hHB101,DMSO,1,Closantel,6.25,,,ED3102,1,,,
p032,A09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,ECA2666,1,,,
p032,B09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,JU3237,1,,,
p032,C09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,VX34,1,,,
p032,D09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,NIC1667,1,,,
p032,E09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,PB420,1,,,
p032,F09,48h,10,15hHB101,DMSO,1,Closantel,12.5,,,ED3102,1,,,
p032,A10,48h,10,15hHB101,DMSO,1,Closantel,25,,,ECA2666,1,,,
p032,B10,48h,10,15hHB101,DMSO,1,Closantel,25,,,JU3237,1,,,
p032,C10,48h,10,15hHB101,DMSO,1,Closantel,25,,,VX34,1,,,
p032,D10,48h,10,15hHB101,DMSO,1,Closantel,25,,,NIC1667,1,,,
p032,E10,48h,10,15hHB101,DMSO,1,Closantel,25,,,PB420,1,,,
p032,F10,48h,10,15hHB101,DMSO,1,Closantel,25,,,ED3102,1,,,
p032,A11,48h,10,15hHB101,DMSO,1,Closantel,50,,,ECA2666,1,,,
p032,B11,48h,10,15hHB101,DMSO,1,Closantel,50,,,JU3237,1,,,
p032,C11,48h,10,15hHB101,DMSO,1,Closantel,50,,,VX34,1,,,
p032,D11,48h,10,15hHB101,DMSO,1,Closantel,50,,,NIC1667,1,,,
p032,E11,48h,10,15hHB101,DMSO,1,Closantel,50,,,PB420,1,,,
p032,F11,48h,10,15hHB101,DMSO,1,Closantel,50,,,ED3102,1,,,
p032,A12,48h,10,15hHB101,DMSO,1,Closantel,100,,,ECA2666,1,,,
p032,B12,48h,10,15hHB101,DMSO,1,Closantel,100,,,JU3237,1,,,
p032,C12,48h,10,15hHB101,DMSO,1,Closantel,100,,,VX34,1,,,
p032,D12,48h,10,15hHB101,DMSO,1,Closantel,100,,,NIC1667,1,,,
p032,E12,48h,10,15hHB101,DMSO,1,Closantel,100,,,PB420,1,,,
p032,F12,48h,10,15hHB101,DMSO,1,Closantel,100,,,ED3102,1,,,
p033,A01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ECA2666,1,,,
p033,B01,48h,10,15hHB101,DMSO,1,Closantel,0,,,JU3237,1,,,
p033,C01,48h,10,15hHB101,DMSO,1,Closantel,0,,,VX34,1,,,
p033,D01,48h,10,15hHB101,DMSO,1,Closantel,0,,,NIC1667,1,,,
p033,E01,48h,10,15hHB101,DMSO,1,Closantel,0,,,PB420,1,,,
p033,F01,48h,10,15hHB101,DMSO,1,Closantel,0,,,ED3102,1,,,
p033,A02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ECA2666,1,,,
p033,B02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,JU3237,1,,,
p033,C02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,VX34,1,,,
p033,D02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,NIC1667,1,,,
p033,E02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,PB420,1,,,
p033,F02,48h,10,15hHB101,DMSO,1,Closantel,0.097,,,ED3102,1,,,
p033,A03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,ECA2666,1,,,
p033,B03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,JU3237,1,,,
p033,C03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,VX34,1,,,
p033,D03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,NIC1667,1,,,
p033,E03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,PB420,1,,,
p033,F03,48h,10,15hHB101,DMSO,1,Closantel,0.195,,,ED3102,1,,,
p033,A04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,ECA2666,1,,,
p033,B04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,JU3237,1,,,
p033,C04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,VX34,1,,,
p033,D04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,NIC1667,1,,,
p033,E04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,PB420,1,,,
p033,F04,48h,10,15hHB101,DMSO,1,Closantel,0.39,,,ED3102,1,,,
p033,A05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,ECA2666,1,,,
p033,B05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,JU3237,1,,,
p033,C05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,VX34,1,,,
p033,D05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,NIC1667,1,,,
p033,E05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,PB420,1,,,
p033,F05,48h,10,15hHB101,DMSO,1,Closantel,0.78,,,ED3102,1,,,
p033,A06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,ECA2666,1,,,
p033,B06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,JU3237,1,,,
p033,C06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,VX34,1,,,
p033,D06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,NIC1667,1,,,
p033,E06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,PB420,1,,,
p033,F06,48h,10,15hHB101,DMSO,1,Closantel,1.56,,,ED3102,1,,,
p033,A07,48h,10,15hHB101,DMSO,1,Closantel,3.125,,,ECA2666,1,,,
