Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p007,A01,48h,10,15hHB101,DMSO,1,Ivermectin,0,,,ECA2666,1,,,
p007,B01,48h,10,15hHB101,DMSO,1,Ivermectin,0,,,JU3237,1,,,
p007,C01,48h,10,15hHB101,DMSO,1,Ivermectin,0,,,VX34,1,,,
p007,D01,48h,10,15hHB101,DMSO,1,Ivermectin,0,,,NIC1667,1,,,
p007,E01,48h,10,15hHB101,DMSO,1,Ivermectin,0,,,PB420,1,,,
p007,F01,48h,10,15hHB101,DMSO,1,Ivermectin,0,,,ED3102,1,,,
p007,A02,48h,10,15hHB101,DMSO,1,Ivermectin,0.000029,,,ECA2666,1,,,
p007,B02,48h,10,15hHB101,DMSO,1,Ivermectin,0.000029,,,JU3237,1,,,
p007,C02,48h,10,15hHB101,DMSO,1,Ivermectin,0.000029,,,VX34,1,,,
p007,D02,48h,10,15hHB101,DMSO,1,Ivermectin,0.000029,,,NIC1667,1,,,
p007,E02,48h,10,15hHB101,DMSO,1,Ivermectin,0.000029,,,PB420,1,,,
p007,F02,48h,10,15hHB101,DMSO,1,Ivermectin,0.000029,,,ED3102,1,,,
p007,A03,48h,10,15hHB101,DMSO,1,Ivermectin,0.000058,,,ECA2666,1,,,
p007,B03,48h,10,15hHB101,DMSO,1,Ivermectin,0.000058,,,JU3237,1,,,
p007,C03,48h,10,15hHB101,DMSO,1,Ivermectin,0.000058,,,VX34,1,,,
p007,D03,48h,10,15hHB101,DMSO,1,Ivermectin,0.000058,,,NIC1667,1,,,
p007,E03,48h,10,15hHB101,DMSO,1,Ivermectin,0.000058,,,PB420,1,,,
p007,F03,48h,10,15hHB101,DMSO,1,Ivermectin,0.000058,,,ED3102,1,,,
p007,A04,48h,10,15hHB101,DMSO,1,Ivermectin,0.00011,,,ECA2666,1,,,
p007,B04,48h,10,15hHB101,DMSO,1,Ivermectin,0.00011,,,JU3237,1,,,
p007,C04,48h,10,15hHB101,DMSO,1,Ivermectin,0.00011,,,VX34,1,,,
p007,D04,48h,10,15hHB101,DMSO,1,Ivermectin,0.00011,,,NIC1667,1,,,
p007,E04,48h,10,15hHB101,DMSO,1,Ivermectin,0.00011,,,PB420,1,,,
