Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p001,A01,48h,10,15hHB101,DMSO,1,Emodepside,0,,,ECA2666,1,,,
p001,B01,48h,10,15hHB101,DMSO,1,Emodepside,0,,,JU3237,1,,,
p001,C01,48h,10,15hHB101,DMSO,1,Emodepside,0,,,VX34,1,,,
p001,D01,48h,10,15hHB101,DMSO,1,Emodepside,0,,,NIC1667,1,,,
p001,E01,48h,10,15hHB101,DMSO,1,Emodepside,0,,,PB420,1,,,
p001,F01,48h,10,15hHB101,DMSO,1,Emodepside,0,,,ED3102,1,,,
p001,A02,48h,10,15hHB101,DMSO,1,Emodepside,0.00097,,,ECA2666,1,,,
p001,B02,48h,10,15hHB101,DMSO,1,Emodepside,0.00097,,,JU3237,1,,,
p001,C02,48h,10,15hHB101,DMSO,1,Emodepside,0.00097,,,VX34,1,,,
p001,D02,48h,10,15hHB101,DMSO,1,Emodepside,0.00097,,,NIC1667,1,,,
p001,E02,48h,10,15hHB101,DMSO,1,Emodepside,0.00097,,,PB420,1,,,
p001,F02,48h,10,15hHB101,DMSO,1,Emodepside,0.00097,,,ED3102,1,,,
p001,A03,48h,10,15hHB101,DMSO,1,Emodepside,0.00195,,,ECA2666,1,,,
p001,B03,48h,10,15hHB101,DMSO,1,Emodepside,0.00195,,,JU3237,1,,,
p001,C03,48h,10,15hHB101,DMSO,1,Emodepside,0.00195,,,VX34,1,,,
p001,D03,48h,10,15hHB101,DMSO,1,Emodepside,0.00195,,,NIC1667,1,,,
p001,E03,48h,10,15hHB101,DMSO,1,Emodepside,0.00195,,,PB420,1,,,
p001,F03,48h,10,15hHB101,DMSO,1,Emodepside,0.00195,,,ED3102,1,,,
p001,A04,48h,10,15hHB101,DMSO,1,Emodepside,0.0039,,,ECA2666,1,,,
p001,B04,48h,10,15hHB101,DMSO,1,Emodepside,0.0039,,,JU3237,1,,,
p001,C04,48h,10,15hHB101,DMSO,1,Emodepside,0.0039,,,VX34,1,,,
p001,D04,48h,10,15hHB101,DMSO,1,Emodepside,0.0039,,,NIC1667,1,,,
p001,E04,48h,10,15hHB101,DMSO,1,Emodepside,0.0039,,,PB420,1,,,
p001,F04,48h,10,15hHB101,DMSO,1,Emodepside,0.0039,,,ED3102,1,,,
p001,A05,48h,10,15hHB101,DMSO,1,Emodepside,0.0078,,,ECA2666,1,,,
p001,B05,48h,10,15hHB101,DMSO,1,Emodepside,0.0078,,,JU3237,1,,,
p001,C05,48h,10,15hHB101,DMSO,1,Emodepside,0.0078,,,VX34,1,,,
p001,D05,48h,10,15hHB101,DMSO,1,Emodepside,0.0078,,,NIC1667,1,,,
p001,E05,48h,10,15hHB101,DMSO,1,Emodepside,0.0078,,,PB420,1,,,
p001,F05,48h,10,15hHB101,DMSO,1,Emodepside,0.0078,,,ED3102,1,,,
p001,A06,48h,10,15hHB101,DMSO,1,Emodepside,0.0156,,,ECA2666,1,,,
p001,B06,48h,10,15hHB101,DMSO,1,Emodepside,0.0156,,,JU3237,1,,,
p001,C06,48h,10,15hHB101,DMSO,1,Emodepside,0.0156,,,VX34,1,,,
p001,D06,48h,10,15hHB101,DMSO,1,Emodepside,0.0156,,,NIC1667,1,,,
p001,E06,48h,10,15hHB101,DMSO,1,Emodepside,0.0156,,,PB420,1,,,
p001,F06,48h,10,15hHB101,DMSO,1,Emodepside,0.0156,,,ED3102,1,,,
p001,A07,48h,10,15hHB101,DMSO,1,Emodepside,0.0312,,,ECA2666,1,,,
p001,B07,48h,10,15hHB101,DMSO,1,Emodepside,0.0312,,,JU3237,1,,,
p001,C07,48h,10,15hHB101,DMSO,1,Emodepside,0.0312,,,VX34,1,,,
p001,D07,48h,10,15hHB101,DMSO,1,Emodepside,0.0312,,,NIC1667,1,,,
p001,E07,48h,10,15hHB101,DMSO,1,Emodepside,0.0312,,,PB420,1,,,
p001,F07,48h,10,15hHB101,DMSO,1,Emodepside,0.0312,,,ED3102,1,,,
p001,A08,48h,10,15hHB101,DMSO,1,Emodepside,0.0625,,,ECA2666,1,,,
p001,B08,48h,10,15hHB101,DMSO,1,Emodepside,0.0625,,,JU3237,1,,,
p001,C08,48h,10,15hHB101,DMSO,1,Emodepside,0.0625,,,VX34,1,,,
p001,D08,48h,10,15hHB101,DMSO,1,Emodepside,0.0625,,,NIC1667,1,,,
p001,E08,48h,10,15hHB101,DMSO,1,Emodepside,0.0625,,,PB420,1,,,
p001,F08,48h,10,15hHB101,DMSO,1,Emodepside,0.0625,,,ED3102,1,,,
p001,A09,48h,10,15hHB101,DMSO,1,Emodepside,0.125,,,ECA2666,1,,,
p001,B09,48h,10,15hHB101,DMSO,1,Emodepside,0.125,,,JU3237,1,,,
p001,C09,48h,10,15hHB101,DMSO,1,Emodepside,0.125,,,VX34,1,,,
p001,D09,48h,10,15hHB101,DMSO,1,Emodepside,0.125,,,NIC1667,1,,,
p001,E09,48h,10,15hHB101,DMSO,1,Emodepside,0.125,,,PB420,1,,,
p001,F09,48h,10,15hHB101,DMSO,1,Emodepside,0.125,,,ED3102,1,,,
p001,A10,48h,10,15hHB101,DMSO,1,Emodepside,0.25,,,ECA2666,1,,,
p001,B10,48h,10,15hHB101,DMSO,1,Emodepside,0.25,,,JU3237,1,,,
p001,C10,48h,10,15hHB101,DMSO,1,Emodepside,0.25,,,VX34,1,,,
