"drug","concentration_um","type","value","lower","upper"
"Albendazole",0.468,"broad-sense (H2)",0,0,0.566257570985447
"Albendazole",0.468,"narrow-sense (h2)",0,-0.0412804327352135,0.0412804327352135
"Albendazole",1.875,"broad-sense (H2)",0.324129569666649,0.235509457052838,0.724526709745781
"Albendazole",1.875,"narrow-sense (h2)",0.207118232790911,0.0606951772034246,0.353541288378397
"Albendazole",15,"broad-sense (H2)",0.88862314798638,0.875103799985512,0.952564164752541
"Albendazole",15,"narrow-sense (h2)",0.795432322183716,0.681882257994515,0.908982386372917
"Albendazole",120,"broad-sense (H2)",0.884149530531723,0.855762085482351,0.959924944536147
"Albendazole",120,"narrow-sense (h2)",0.79855425245618,0.686346476886725,0.910762028025634
"Fenbendazole",0.117,"broad-sense (H2)",0,0,0.48798354940284
"Fenbendazole",0.117,"narrow-sense (h2)",0,-0.0412804327352135,0.0412804327352135
"Fenbendazole",0.937,"broad-sense (H2)",0,0,0.68842842724025
"Fenbendazole",0.937,"narrow-sense (h2)",0.021090014962678,-0.0376809361976927,0.0798609661230487
"Fenbendazole",3.75,"broad-sense (H2)",0.538605571933206,0.482617985549845,0.852745253549256
"Fenbendazole",3.75,"narrow-sense (h2)",0.275788343205085,0.110162062796192,0.441414623613979
"Fenbendazole",7.5,"broad-sense (H2)",0.70601147141423,0.652583813862577,0.91199396830835
"Fenbendazole",7.5,"narrow-sense (h2)",0.396008858796798,0.211987792647757,0.58002992494584
"Ivermectin",0,"broad-sense (H2)",1.84941765497433e-30,0,0.397247276784318
"Ivermectin",0,"narrow-sense (h2)",0,-0.0412804327352135,0.0412804327352135
"Ivermectin",0.00011,"broad-sense (H2)",0,0,0.440295886136239
"Ivermectin",0.00011,"narrow-sense (h2)",0,-0.0412804327352135,0.0412804327352135
"Ivermectin",0.0018,"broad-sense (H2)",0.971094935372419,0.96635551302963,0.98980821704399
"Ivermectin",0.0018,"narrow-sense (h2)",0.937321574719484,0.896972295413204,0.977670854025763
"Moxidectin",0,"broad-sense (H2)",5.95375220649164e-31,0,0.0893350662045776
"Moxidectin",0,"narrow-sense (h2)",0,-0.0133795532189616,0.0133795532189616
"Moxidectin",0.00097,"broad-sense (H2)",0.0107408031483899,0,0.250826989467993
"Moxidectin",0.00097,"narrow-sense (h2)",0,-0.0135788035881484,0.0135788035881484
"Moxidectin",0.0019,"broad-sense (H2)",0.0577255078881371,0,0.231789697550603
"Moxidectin",0.0019,"narrow-sense (h2)",0.0242762163538785,-0.00762668511482666,0.0561791178225836
"Moxidectin",0.0039,"broad-sense (H2)",0.14289154415009,0.0630046744820478,0.465273468557962
"Moxidectin",0.0039,"narrow-sense (h2)",0.084427174618251,0.0184855823220888,0.150368766914413
"Moxidectin",0.0078,"broad-sense (H2)",0.0724760404072844,0.00977741053074571,0.308312421973588
"Moxidectin",0.0078,"narrow-sense (h2)",0.0337140677618428,-0.00420470004588128,0.0716328355695668
"Moxidectin",0.0156,"broad-sense (H2)",0.369701886329144,0.306525623650512,0.578719559907431
"Moxidectin",0.0156,"narrow-sense (h2)",0.263452304566605,0.126910357068124,0.399994252065086
"Moxidectin",0.03125,"broad-sense (H2)",0.853599081729038,0.812575184642019,0.9569886166785
"Moxidectin",0.03125,"narrow-sense (h2)",0.74662526500971,0.622487155361631,0.870763374657789
"Moxidectin",0.0625,"broad-sense (H2)",0.895584506004295,0.880370312427196,0.961540740538143
"Moxidectin",0.0625,"narrow-sense (h2)",0.804288625588421,0.701300812015448,0.907276439161395
"Moxidectin",0.125,"broad-sense (H2)",0.932043977064156,0.912705778222956,0.982440435458454
"Moxidectin",0.125,"narrow-sense (h2)",0.861729734774128,0.78404690892814,0.939412560620116
"Moxidectin",0.25,"broad-sense (H2)",0.92328494447389,0.905435756755431,0.970644402560247
"Moxidectin",0.25,"narrow-sense (h2)",0.841567469573233,0.754678668027437,0.92845627111903
"Moxidectin",0.5,"broad-sense (H2)",0.910070218100603,0.884322617423574,0.973788478401551
"Moxidectin",0.5,"narrow-sense (h2)",0.820661159718761,0.724517010975374,0.916805308462148
"Moxidectin",1,"broad-sense (H2)",0.884038522239683,0.871679390599902,0.936331157031095
"Moxidectin",1,"narrow-sense (h2)",0.772144842358455,0.656899120527824,0.887390564189085
"Milbemycin",0,"broad-sense (H2)",1.48752228382898e-31,0,0.52888541356318
"Milbemycin",0,"narrow-sense (h2)",0,-0.0136985810795134,0.0136985810795134
"Milbemycin",0.00097,"broad-sense (H2)",0,0,0.447795657142923
"Milbemycin",0.00097,"narrow-sense (h2)",0,-0.0136467205672332,0.0136467205672332
"Milbemycin",0.0019,"broad-sense (H2)",0,0,0.618528621572214
"Milbemycin",0.0019,"narrow-sense (h2)",0,-0.0136737801688597,0.0136737801688597
"Milbemycin",0.0039,"broad-sense (H2)",0.403139785730935,0.360691996726189,0.596850889606798
"Milbemycin",0.0039,"narrow-sense (h2)",0.305551350441072,0.15869886919311,0.452403831689033
"Milbemycin",0.0078,"broad-sense (H2)",0,0,0.520665754715126
"Milbemycin",0.0078,"narrow-sense (h2)",0,-0.0143030556179735,0.0143030556179735
"Milbemycin",0.0156,"broad-sense (H2)",0,0,0.498843679053649
"Milbemycin",0.0156,"narrow-sense (h2)",0,-0.0137524351101423,0.0137524351101423
"Milbemycin",0.03125,"broad-sense (H2)",0,0,0.492670921699804
"Milbemycin",0.03125,"narrow-sense (h2)",0,-0.0133352972750193,0.0133352972750193
"Milbemycin",0.0625,"broad-sense (H2)",0.116214449541156,0,0.432445095946562
"Milbemycin",0.0625,"narrow-sense (h2)",0.0646129020469047,0.00940604885223729,0.119819755241572
"Milbemycin",0.125,"broad-sense (H2)",0.0282715824321305,0,0.469367066656112
"Milbemycin",0.125,"narrow-sense (h2)",0.00674310015669802,-0.0125388304748603,0.0260250307882564
"Milbemycin",0.25,"broad-sense (H2)",0.629345568190874,0.414896589347718,0.975638052352746
"Milbemycin",0.25,"narrow-sense (h2)",0.437341724472082,0.271897367934615,0.602786081009549
"Milbemycin",0.5,"broad-sense (H2)",0.816216161690729,0.63775916469072,0.948858337929309
"Milbemycin",0.5,"narrow-sense (h2)",0.695983629634846,0.556895950704891,0.835071308564802
"Milbemycin",1,"broad-sense (H2)",0.826982375294358,0.763273810599159,0.926488217735582
"Milbemycin",1,"narrow-sense (h2)",0.72083048930515,0.588691962253144,0.852969016357156
"Levamisole",0.273,"broad-sense (H2)",0.326721941628952,0.197188240067226,0.720301098813779
"Levamisole",0.273,"narrow-sense (h2)",0.193377613623236,0.0513934205285478,0.335361806717925
"Levamisole",1.09,"broad-sense (H2)",0.244815398130591,0.108730125111205,0.722706660860064
"Levamisole",1.09,"narrow-sense (h2)",0.146037113494728,0.0216921859387172,0.270382041050738
"Levamisole",70,"broad-sense (H2)",0.887845067980258,0.864466984027988,0.971124048307124
"Levamisole",70,"narrow-sense (h2)",0.798844930442573,0.686759392242909,0.910930468642237
"Pyrantel",150,"broad-sense (H2)",0.752657799959778,0.720641745836935,0.900171231972066
"Pyrantel",150,"narrow-sense (h2)",0.589243224129122,0.414259229634352,0.764227218623891
"Emodepside",0.0156,"broad-sense (H2)",0.259957012954722,0.173198773711067,0.668619663046071
"Emodepside",0.0156,"narrow-sense (h2)",0.14514972695933,0.0211804724467543,0.269118981471906
"Emodepside",0.0625,"broad-sense (H2)",0.918023261291955,0.906911805553486,0.969240864581812
"Emodepside",0.0625,"narrow-sense (h2)",0.870313823069655,0.792259793592416,0.948367852546894
"Closantel",0.097,"broad-sense (H2)",0.329359596051871,0.289107365190587,0.859122068480923
"Closantel",0.097,"narrow-sense (h2)",0.137203425418807,0.016757733835879,0.257649117001734
"Closantel",0.78,"broad-sense (H2)",0.466968664218584,0.403957128182959,0.781892545325933
"Closantel",0.78,"narrow-sense (h2)",0.279225845832501,0.112833170667007,0.445618520997995
"Closantel",1.56,"broad-sense (H2)",0.454472870066665,0.309635971125899,0.747466638261652
"Closantel",1.56,"narrow-sense (h2)",0.211159987778116,0.0632414912143616,0.35907848434187
"Closantel",6.25,"broad-sense (H2)",0.967282859841868,0.965404673834588,0.989613394810049
"Closantel",6.25,"narrow-sense (h2)",0.913285259016233,0.858761629993702,0.967808888038764
