"drug","type","value","EC_level","EC_value","upper","lower","concentration_um","diff_from_EC"
"Albendazole","h2",0,"EC10",0.530618217814407,0.0412804327352135,-0.0412804327352135,0.468,0.0626182178144066
"Albendazole","h2",0.207118232790911,"EC50",5.46432490617021,0.353541288378397,0.0606951772034246,1.875,3.58932490617021
"Albendazole","h2",0.79855425245618,"EC90",129.061540317153,0.910762028025634,0.686346476886725,120,9.06154031715272
"Albendazole","H2",0,"EC10",0.530618217814407,0.329401790152942,0,0.468,0.0626182178144066
"Albendazole","H2",0.324129569666649,"EC50",5.46432490617021,0.71121884553455,0.224607174286113,1.875,3.58932490617021
"Albendazole","H2",0.884149530531723,"EC90",129.061540317153,0.956206489273084,0.865910486783434,120,9.06154031715272
"Fenbendazole","h2",0.021090014962678,"EC10",0.956380552231665,0.0798609661230487,-0.0376809361976927,0.937,0.0193805522316651
"Fenbendazole","h2",0.021090014962678,"EC50",1.83163496520345,0.0798609661230487,-0.0376809361976927,0.937,0.894634965203453
"Fenbendazole","h2",0.275788343205085,"EC90",3.8615864870622,0.441414623613979,0.110162062796192,3.75,0.111586487062198
"Fenbendazole","H2",0,"EC10",0.956380552231665,0.568487324179641,0,0.937,0.0193805522316651
"Fenbendazole","H2",0,"EC50",1.83163496520345,0.568487324179641,0,0.937,0.894634965203453
"Fenbendazole","H2",0.538605571933206,"EC90",3.8615864870622,0.837173837673381,0.414276539616576,3.75,0.111586487062198
"Ivermectin","h2",0,"EC10",0.000549723781659394,0.0412804327352135,-0.0412804327352135,0.00011,0.000439723781659394
"Ivermectin","h2",0,"EC50",0.0009132500360035,0.0412804327352135,-0.0412804327352135,0.00011,0.0008032500360035
"Ivermectin","h2",0.937321574719484,"EC90",0.00156613891721547,0.977670854025763,0.896972295413204,0.0018,0.000233861082784528
"Ivermectin","H2",0,"EC10",0.000549723781659394,0.373819228252554,0,0.00011,0.000439723781659394
"Ivermectin","H2",0,"EC50",0.0009132500360035,0.373819228252554,0,0.00011,0.0008032500360035
"Ivermectin","H2",0.971094935372419,"EC90",0.00156613891721547,0.9907572931554,0.969021541562425,0.0018,0.000233861082784528
"Milbemycin","h2",0.437341724472082,"EC10",0.236283348498174,0.602786081009549,0.271897367934615,0.25,0.0137166515018262
"Milbemycin","h2",0.695983629634846,"EC50",0.506931908591821,0.835071308564802,0.556895950704891,0.5,0.00693190859182136
"Milbemycin","h2",0.72083048930515,"EC90",1.11273304034907,0.852969016357156,0.588691962253144,1,0.112733040349074
"Milbemycin","H2",0.629345568190874,"EC10",0.236283348498174,0.972077679864961,0.350819526232427,0.25,0.0137166515018262
"Milbemycin","H2",0.816216161690729,"EC50",0.506931908591821,0.963401539154074,0.717158000835201,0.5,0.00693190859182136
"Milbemycin","H2",0.826982375294358,"EC90",1.11273304034907,0.913973773255544,0.765629415449172,1,0.112733040349074
"Moxidectin","h2",0.0337140677618428,"EC10",0.00914502513668944,0.0716328355695668,-0.00420470004588128,0.0078,0.00134502513668944
"Moxidectin","h2",0.263452304566605,"EC50",0.0149699524746221,0.399994252065086,0.126910357068124,0.0156,0.000630047525377913
"Moxidectin","h2",0.74662526500971,"EC90",0.0250204881291075,0.870763374657789,0.622487155361631,0.03125,0.00622951187089248
"Moxidectin","H2",0.0724760404072844,"EC10",0.00914502513668944,0.297886016757566,0.0179505211110526,0.0078,0.00134502513668944
"Moxidectin","H2",0.369701886329144,"EC50",0.0149699524746221,0.621621280944634,0.304024052707211,0.0156,0.000630047525377913
"Moxidectin","H2",0.853599081729038,"EC90",0.0250204881291075,0.959418198266162,0.815475095329212,0.03125,0.00622951187089248
"Levamisole","h2",0.146037113494728,"EC10",1.89832285486446,0.270382041050738,0.0216921859387172,1.09,0.808322854864464
"Levamisole","h2",0.146037113494728,"EC50",10.1516307064382,0.270382041050738,0.0216921859387172,1.09,9.06163070643817
"Levamisole","h2",0.798844930442573,"EC90",67.0478343585909,0.910930468642237,0.686759392242909,70,2.95216564140908
"Levamisole","H2",0.244815398130591,"EC10",1.89832285486446,0.632503422637124,0.170662854203009,1.09,0.808322854864464
"Levamisole","H2",0.244815398130591,"EC50",10.1516307064382,0.632503422637124,0.170662854203009,1.09,9.06163070643817
"Levamisole","H2",0.887845067980258,"EC90",67.0478343585909,0.955385139764082,0.8627356241853,70,2.95216564140908
"Closantel","h2",0.211159987778116,"EC10",2.02450457476603,0.35907848434187,0.0632414912143616,1.56,0.464504574766025
"Closantel","h2",0.913285259016233,"EC50",5.64380518522675,0.967808888038764,0.858761629993702,6.25,0.606194814773253
"Closantel","h2",0.913285259016233,"EC90",16.5944745393069,0.967808888038764,0.858761629993702,6.25,10.3444745393069
"Closantel","H2",0.454472870066665,"EC10",2.02450457476603,0.805907368060502,0.364639357198754,1.56,0.464504574766025
"Closantel","H2",0.967282859841868,"EC50",5.64380518522675,0.989077211126857,0.964295774938308,6.25,0.606194814773253
"Closantel","H2",0.967282859841868,"EC90",16.5944745393069,0.989077211126857,0.964295774938308,6.25,10.3444745393069
"Emodepside","h2",0.14514972695933,"EC10",0.0377990204414168,0.269118981471906,0.0211804724467543,0.0156,0.0221990204414168
"Emodepside","h2",0.870313823069655,"EC50",0.0941392850451688,0.948367852546894,0.792259793592416,0.0625,0.0316392850451688
"Emodepside","h2",0.870313823069655,"EC90",0.297749015329897,0.948367852546894,0.792259793592416,0.0625,0.235249015329897
"Emodepside","H2",0.259957012954722,"EC10",0.0377990204414168,0.722704781638956,0.185858700340719,0.0156,0.0221990204414168
"Emodepside","H2",0.918023261291955,"EC50",0.0941392850451688,0.954989590441743,0.908961505200731,0.0625,0.0316392850451688
"Emodepside","H2",0.918023261291955,"EC90",0.297749015329897,0.954989590441743,0.908961505200731,0.0625,0.235249015329897
